district,Block Name,Total Br.,NRLM O/S,IRREGULAR,NPA,NULM O/S,NPA,PMEGP O/S,NPA,SHG O/S,NPA,SUI O/S,NPA
Aizawl,Tlangnuam,95,19,2,7,413,7,849,7,192,7,370,7
Champhai,Khawbung,3,228,23,0,0,0,17,0,310,0,0,0
Hnahthial,Hnahthial,5,9,0,0,2,0,54,0,60,0,4,0
Khawzawl,Khawzawl,7,241,28,0,8,0,68,0,312,0,3,0
Kolasib,N. Thingdawl,7,229,27,0,82,0,163,0,259,0,2,0
Lawngtlai,Sangau,2,116,11,0,0,0,43,0,121,0,0,0
Lunglei,W. Bunghmun,2,4,2,0,0,0,7,0,10,0,0,0
Mamit,Zawlnuam,8,179,42,2,57,2,227,2,216,2,7,2
Saiha,Tuipang,1,171,34,0,0,0,29,0,172,0,0,0
Saitual,Phullen,5,0,0,0,7,0,51,0,64,0,0,0
Serchhip,Serchhip,12,170,26,0,0,0,65,0,185,0,0,0
