district,Total Br.,AGRICULTURE Outstanding,NPA,MSME Outstanding,NPA,OTHER PS Outstanding,NPA,TOTAL PRIORITY SECTOR Outstanding,NPA
Aizawl,106,17426,9990,16010,9990,12871,9990,46307,9990
Champhai,16,5992,893,1811,893,673,893,8476,893
Hnahthial,5,1036,153,230,153,156,153,1422,153
Khawzawl,7,2380,438,660,438,242,438,3282,438
Kolasib,18,6095,1679,3321,1679,2177,1679,11593,1679
Lawngtlai,12,3750,1885,1722,1885,2277,1885,7749,1885
Lunglei,19,6009,910,3507,910,2180,910,11696,910
Mamit,12,3510,761,1473,761,464,761,5447,761
Saiha,6,3973,2437,1221,2437,1640,2437,6834,2437
Saitual,10,2700,567,814,567,197,567,3711,567
Serchhip,15,4296,858,1905,858,794,858,6995,858
