district,Total Br.,EXPORT No.,Amt.,EDUCA- TION No.,Amt.,HOUSING No.,Amt.,SOCIAL INFRA No.,Amt.,RENEW- ABLE No.,Amt.,OTHERS No.,Amt.,TOTAL OTHER PS No.,Amt.
Aizawl,106,0,55432.86,220,55432.86,6353,55432.86,1,55432.86,0,55432.86,6297,55432.86,12871,55432.86
Champhai,16,0,4715.16,8,4715.16,662,4715.16,0,4715.16,0,4715.16,3,4715.16,673,4715.16
Hnahthial,5,0,1248.05,0,1248.05,156,1248.05,0,1248.05,0,1248.05,0,1248.05,156,1248.05
Khawzawl,7,0,1950.01,3,1950.01,239,1950.01,0,1950.01,0,1950.01,0,1950.01,242,1950.01
Kolasib,18,0,7315.30,9,7315.30,795,7315.30,0,7315.30,0,7315.30,1373,7315.30,2177,7315.30
Lawngtlai,12,0,15728.59,13,15728.59,2256,15728.59,0,15728.59,0,15728.59,8,15728.59,2277,15728.59
Lunglei,19,0,15750.64,15,15750.64,2141,15750.64,0,15750.64,0,15750.64,24,15750.64,2180,15750.64
Mamit,12,0,3609.63,0,3609.63,464,3609.63,0,3609.63,0,3609.63,0,3609.63,464,3609.63
Saiha,6,0,11622.87,6,11622.87,1634,11622.87,0,11622.87,0,11622.87,0,11622.87,1640,11622.87
Saitual,10,0,1278.30,1,1278.30,196,1278.30,0,1278.30,0,1278.30,0,1278.30,197,1278.30
Serchhip,15,0,6239.33,8,6239.33,785,6239.33,0,6239.33,0,6239.33,1,6239.33,794,6239.33
