district,Block Name,.rB latoT,PMJJBY,PMSBY,Enrol- mentunder APY,Total Enrol- ment No.
Aizawl,Tlangnuam,95,61818,114574,5245,181637
Champhai,Khawbung,3,2546,3310,191,6047
Hnahthial,Hnahthial,5,3077,5047,192,8316
Khawzawl,Khawzawl,7,4196,6281,290,10767
Kolasib,N. Thingdawl,7,5235,7427,469,13131
Lawngtlai,Sangau,2,1422,1687,47,3156
Lunglei,W. Bunghmun,2,787,1094,80,1961
Mamit,Zawlnuam,8,5997,11314,240,17551
Saiha,Tuipang,1,1388,1842,212,3442
Saitual,Phullen,5,1936,1829,189,3954
Serchhip,Serchhip,12,8875,14970,562,24407
