district,Total Br.,OTHER PRIORITY SECTOR Target,Achievement,Total PRIORITY SECTOR Target,Achievement,NON-PRIORITY SECTOR Target,Achievement
Aizawl,106,1503,11569,22321,11569,4711,11569
Champhai,16,214,784,4662,784,188,784
Hnahthial,5,214,200,1582,200,127,200
Khawzawl,7,107,165,2239,165,131,165
Kolasib,18,909,1283,5549,1283,317,1283
Lawngtlai,12,344,891,3956,891,838,891
Lunglei,19,523,1570,4263,1570,824,1570
Mamit,12,763,305,3856,305,418,305
Saiha,6,174,556,2505,556,611,556
Saitual,10,82,228,2956,228,64,228
Serchhip,15,227,474,10019,474,190,474
