district,Block Name,Total Br.,KCCs for AH & Allied Activities No.,Amt.,Farm Productio No.,Amt.,Dairy No.,Amt.,Farm Mechanisation No.,Amt.,Poultry No.,Amt.,Fisheries No.,Amt.,Godown No.,Amt.,Clinic No.,Amt.,Other No.,Amt.,Total IC-Agri O/S No.,Amt.
Aizawl,Tlangnuam,95,3309,11587.97,0,11587.97,237,11587.97,36,11587.97,227,11587.97,2,11587.97,3,11587.97,1,11587.97,2536,11587.97,6351,11587.97
Champhai,Khawbung,3,378,1563.95,0,1563.95,2,1563.95,7,1563.95,9,1563.95,1,1563.95,0,1563.95,0,1563.95,771,1563.95,1168,1563.95
Hnahthial,Hnahthial,5,572,978.81,0,978.81,80,978.81,2,978.81,1,978.81,0,978.81,0,978.81,0,978.81,196,978.81,851,978.81
Khawzawl,Khawzawl,7,1168,2424.26,0,2424.26,83,2424.26,6,2424.26,20,2424.26,1,2424.26,0,2424.26,0,2424.26,899,2424.26,2177,2424.26
Kolasib,N. Thingdawl,7,1224,2780.63,0,2780.63,100,2780.63,8,2780.63,80,2780.63,0,2780.63,0,2780.63,0,2780.63,775,2780.63,2187,2780.63
Lawngtlai,Sangau,2,293,828.59,0,828.59,1,828.59,0,828.59,0,828.59,2,828.59,0,828.59,0,828.59,376,828.59,672,828.59
Lunglei,W. Bunghmun,2,331,391.91,0,391.91,3,391.91,3,391.91,4,391.91,0,391.91,0,391.91,0,391.91,44,391.91,385,391.91
Mamit,Zawlnuam,8,614,1186.93,0,1186.93,7,1186.93,101,1186.93,30,1186.93,1,1186.93,0,1186.93,0,1186.93,481,1186.93,1234,1186.93
Saiha,Tuipang,1,277,649.85,0,649.85,38,649.85,0,649.85,3,649.85,0,649.85,0,649.85,0,649.85,314,649.85,632,649.85
Saitual,Phullen,5,1010,1606.64,0,1606.64,15,1606.64,11,1606.64,100,1606.64,2,1606.64,0,1606.64,0,1606.64,445,1606.64,1583,1606.64
Serchhip,Serchhip,12,1203,3671.39,0,3671.39,210,3671.39,12,3671.39,17,3671.39,0,3671.39,0,3671.39,0,3671.39,824,3671.39,2266,3671.39
