District,Total Br,Outstanding Agriculture,Education,Housing,Personal,Other NPS,TOTAL NPS,TOTAL NPA
Aizawl,106,3,6,2561,17962,23932,44464,1600
Champhai,16,1,0,113,1184,1401,2699,49
Hnahthial,5,7,0,76,343,230,656,4
Khawzawl,7,0,0,40,601,253,894,8
Kolasib,18,0,0,139,1477,2152,3768,175
Lawngtlai,12,0,1,175,2559,1397,4132,83
Lunglei,19,1,1,294,3408,2750,6454,115
Mamit,12,0,0,64,1069,581,1714,30
Saiha,6,0,0,143,1698,1227,3068,136
Saitual,10,0,0,20,511,367,898,1
Serchhip,15,1,0,102,1283,742,2128,29
