district,total_deposit,total_advance,overall_cd_ratio,deposits_prev_fy,deposits_prev_quarter,deposits_growth_abs,deposits_growth_pct,advances_prev_fy,advances_prev_quarter,advances_growth_abs,advances_growth_pct,cd_ratio_prev_fy,cd_ratio_prev_quarter,cd_ratio_benchmark
Balod,5741.8,1975.08,34.3983,4535.91,5133.77,1205.89,26.5854,1695.96,2058.84,279.12,16.4579,37.3896,40.1039,40
Baloda Bazar,6327.84,3477.27,54.9519,5042.48,5561.74,1285.36,25.4906,2935.82,3513.44,541.45,18.4429,58.2217,63.1716,40
Balrampur,3017.4,1131.72,37.5065,2381.18,2587.51,636.22,26.7187,955.22,1149.81,176.5,18.4774,40.1154,44.4369,40
Bastar,6416.79,3963.58,61.7689,5191.25,6172.58,1225.54,23.6078,3264.78,3640.09,698.8,21.4042,62.8901,58.9719,40
Bemetara,4609.83,2039.72,44.2472,3238.25,3829,1371.58,42.3556,1711.63,2240.63,328.09,19.1683,52.8566,58.5174,40
Bijapur,1160.39,602.23,51.8989,972.59,996.87,187.8,19.3093,478.7,608.42,123.53,25.8053,49.2191,61.033,40
Bilaspur,29581.04,17136.05,57.9292,26224.65,27986.3,3356.39,12.7986,13409.54,16566.06,3726.51,27.79,51.1333,59.1935,40
Dantewada,2507.71,2529.81,100.8813,2435.54,2481.98,72.17,2.9632,3093.55,2575.74,-563.74,-18.2231,127.017,103.7776,40
Dhamtari,5919.03,3341.34,56.4508,4728.12,5410.45,1190.91,25.1878,2866.42,3306.24,474.92,16.5684,60.6249,61.1084,40
Durg,33825.16,19447.94,57.4955,29815.92,32602.41,4009.24,13.4466,15933.99,19258.65,3513.95,22.0532,53.4412,59.0712,40
Gariaband,2489.4,1237.56,49.7132,1921.86,2046.82,567.54,29.5308,1028.96,1249.05,208.6,20.2729,53.5398,61.0239,40
Gaurela-Pendra-Marwahi,1465.94,720,49.1152,1232.82,1297.96,233.12,18.9095,529.5,691.28,190.5,35.9773,42.9503,53.259,40
Janjgir-Champa,7148.59,3457.48,48.3659,5808.27,6330.13,1340.32,23.0761,2740.04,3412.48,717.44,26.1836,47.1748,53.9085,40
Jashpur,4348,2013.05,46.2983,3447.69,3764.67,900.31,26.1134,1520.48,1830.62,492.57,32.3957,44.1014,48.6263,40
Kabirdham,3513.43,2205.3,62.7677,2804.33,2994.22,709.1,25.2859,1834.73,2433.66,370.57,20.1975,65.4249,81.2786,40
Kanker,4368.94,2382.63,54.5357,3532.01,3965.31,836.93,23.6956,1935.97,2360.44,446.66,23.0716,54.8121,59.5273,40
Khairagarh-Chhuikhadan-Gandai,1731.12,758.51,43.8161,1248.42,1516.14,482.7,38.6649,598.29,863.02,160.22,26.7797,47.9238,56.9222,40
Kondagaon,2453.76,1430,58.2779,2020.75,2212.02,433.01,21.4282,1232.58,1444.17,197.42,16.0168,60.9962,65.2874,40
Korba,11875.01,7259.79,61.135,10601.24,11423.6,1273.77,12.0153,6237.21,7023.7,1022.58,16.3948,58.8347,61.4841,40
Korea,2291.25,1870.82,81.6506,2029.1,2150.39,262.15,12.9195,1724.61,1894.24,146.21,8.4779,84.9938,88.0882,40
Mahasamund,5834.01,3846.83,65.938,4213.02,4995.47,1620.99,38.4757,3190.55,3898.31,656.28,20.5695,75.7307,78.0369,40
Manendragarh-Chirmiri-Bharatpur,3822.8,1156.08,30.2417,3571.73,3608.7,251.07,7.0294,1037.24,1154.02,118.84,11.4573,29.0403,31.9788,40
Mohla-Manpur-Ambagarh Chowki,1202.19,313.57,26.0832,946.39,1015.68,255.8,27.029,251.61,356.05,61.96,24.6254,26.5863,35.0553,40
Mungeli,2639.44,1329.01,50.352,1982.27,2242.93,657.17,33.1524,1125.71,1366.28,203.3,18.0597,56.7889,60.915,40
Narayanpur,807.16,379.08,46.9647,715.11,772.72,92.05,12.8721,301.38,370.7,77.7,25.7814,42.1446,47.9734,40
Raigarh,10547.78,7999.4,75.8397,9329.78,9856.28,1218,13.055,6669.93,7942.3,1329.47,19.9323,71.4908,80.5811,40
Raipur,88212.54,95039.92,107.7397,74635.04,80957.19,13577.5,18.1919,81721.78,93178.72,13318.14,16.2969,109.4952,115.0963,40
Rajnandgaon,8476.28,4645.01,54.8001,6834.63,8092.49,1641.65,24.0196,3735.14,4592.35,909.87,24.3597,54.6502,56.7483,40
Sakti,3322.74,1364.57,41.0676,2436.84,2771.3,885.9,36.3545,1179.1,1416.21,185.47,15.7298,48.3864,51.1027,40
Sarangarh-Bilaigarh,2493.2,1120.19,44.9298,1850.77,2144.77,642.43,34.7115,934.36,1152.27,185.83,19.8885,50.4849,53.7246,40
Sukma,1151.35,479.36,41.6346,948.14,1068.09,203.21,21.4325,397.02,471.2,82.34,20.7395,41.8736,44.1161,40
Surajpur,4975.53,1770.43,35.5827,4264.54,4588.93,710.99,16.6721,1497.65,1778.02,272.78,18.2139,35.1187,38.7459,40
Surguja,8672.09,3989.83,46.0077,6931.2,7765.52,1740.89,25.1167,3404.12,3898.09,585.71,17.2059,49.113,50.1974,40
