district,total_branch,branch_rural,branch_semi_urban,branch_urban,branch_rural_prev_fy,branch_rural_prev_q,branch_rural_growth_abs,branch_rural_growth_pct,branch_semi_urban_prev_fy,branch_semi_urban_prev_q,branch_semi_urban_growth_abs,branch_semi_urban_growth_pct,branch_urban_prev_fy,branch_urban_prev_q,branch_urban_growth_abs,branch_urban_growth_pct,branch_total_prev_fy,branch_total_prev_q,branch_total_growth_abs,branch_total_growth_pct
Balod,107,69,37,1,69,69,0,0,36,37,1,2.7778,1,1,0,0,106,107,1,0.9434
Baloda Bazar,113,49,64,0,48,49,1,2.0833,64,64,0,0,0,0,0,0,112,113,1,0.8929
Balrampur,73,60,12,1,57,59,3,5.2632,12,12,0,0,1,1,0,0,70,72,3,4.2857
Bastar,117,74,4,39,72,74,2,2.7778,4,4,0,0,39,39,0,0,115,117,2,1.7391
Bemetara,82,54,27,1,52,53,2,3.8462,26,26,1,3.8462,1,1,0,0,79,80,3,3.7975
Bijapur,46,38,8,0,36,37,2,5.5556,7,9,1,14.2857,0,0,0,0,43,46,3,6.9767
Bilaspur,259,69,40,150,72,70,-3,-4.1667,43,42,-3,-6.9767,138,145,12,8.6957,253,257,6,2.3715
Dantewada,43,22,21,0,22,21,0,0,21,22,0,0,0,0,0,0,43,43,0,0
Dhamtari,113,54,22,37,53,54,1,1.8868,22,22,0,0,37,37,0,0,112,113,1,0.8929
Durg,303,76,40,187,76,76,0,0,40,40,0,0,180,185,7,3.8889,296,301,7,2.3649
Gariaband,62,36,26,0,34,34,2,5.8824,25,26,1,4,0,0,0,0,59,60,3,5.0847
Gaurela-Pendra-Marwahi,25,9,16,0,7,9,2,28.5714,15,17,1,6.6667,0,0,0,0,22,26,3,13.6364
Janjgir-Champa,119,59,58,2,57,58,2,3.5088,58,58,0,0,2,2,0,0,117,118,2,1.7094
Jashpur,86,41,43,2,42,42,-1,-2.381,43,43,0,0,1,1,1,100,86,86,0,0
Kabirdham,83,43,38,2,41,42,2,4.878,37,38,1,2.7027,2,2,0,0,80,82,3,3.75
Kanker,101,61,39,1,61,61,0,0,38,39,1,2.6316,1,1,0,0,100,101,1,1
Khairagarh-Chhuikhadan-Gandai,39,21,16,2,20,21,1,5,14,16,2,14.2857,2,2,0,0,36,39,3,8.3333
Kondagaon,55,27,27,1,27,27,0,0,27,27,0,0,1,1,0,0,55,55,0,0
Korba,133,44,28,61,42,43,2,4.7619,28,28,0,0,59,61,2,3.3898,129,132,4,3.1008
Korea,37,14,22,1,14,14,0,0,21,22,1,4.7619,1,1,0,0,36,37,1,2.7778
Mahasamund,125,52,72,1,52,52,0,0,73,72,-1,-1.3699,1,1,0,0,126,125,-1,-0.7937
Manendragarh-Chirmiri-Bharatpur,55,26,28,1,26,26,0,0,28,28,0,0,1,1,0,0,55,55,0,0
Mohla-Manpur-Ambagarh Chowki,31,29,1,1,28,28,1,3.5714,1,1,0,0,1,1,0,0,30,30,1,3.3333
Mungeli,52,23,28,1,23,23,0,0,28,28,0,0,1,1,0,0,52,52,0,0
Narayanpur,20,7,13,0,7,7,0,0,13,13,0,0,0,0,0,0,20,20,0,0
Raigarh,147,65,27,55,65,64,0,0,27,27,0,0,51,54,4,7.8431,143,145,4,2.7972
Raipur,532,104,67,361,103,104,1,0.9709,67,67,0,0,351,358,10,2.849,521,529,11,2.1113
Rajnandgaon,127,51,22,54,49,48,2,4.0816,22,22,0,0,51,54,3,5.8824,122,124,5,4.0984
Sakti,53,32,21,0,32,32,0,0,21,21,0,0,0,0,0,0,53,53,0,0
Sarangarh-Bilaigarh,49,31,18,0,30,31,1,3.3333,16,17,2,12.5,0,0,0,0,46,48,3,6.5217
Sukma,33,27,6,0,26,26,1,3.8462,6,6,0,0,0,0,0,0,32,32,1,3.125
Surajpur,88,59,26,3,57,59,2,3.5088,25,26,1,4,3,3,0,0,85,88,3,3.5294
Surguja,104,57,3,44,57,57,0,0,3,3,0,0,44,44,0,0,104,104,0,0
