district,acp_agri_target,acp_agri_achievement,acp_agri_pct,acp_msme_target,acp_msme_achievement,acp_msme_pct,acp_other_psa_target,acp_other_psa_achievement,acp_other_psa_pct,acp_total_target,acp_total_achievement,acp_total_pct
Balod,1043.85,963.77,92.3284,217.25,343.1,157.9287,81.76,79.18,96.8444,1342.86,1386.05,103.2163
Baloda Bazar,1828.46,1674.82,91.5973,364.39,566.74,155.5312,132.87,106.43,80.1009,2325.72,2347.99,100.9576
Balrampur,262.6,328.19,124.9772,120,195.12,162.6,80.6,22.65,28.1017,463.2,545.96,117.867
Bastar,706.99,626.31,88.5882,366.57,651.57,177.7478,92.16,62.88,68.2292,1165.72,1340.76,115.0156
Bemetara,1606.72,1383.76,86.1233,184.99,208.8,112.871,80.17,35.58,44.3807,1871.88,1628.14,86.9789
Bijapur,106.53,117.68,110.4665,6.35,26.81,422.2047,11.5,20.1,174.7826,124.38,164.59,132.3283
Bilaspur,2087.05,1424.78,68.2677,2020,4336.74,214.6901,287.28,343.46,119.5558,4394.33,6104.98,138.9286
Dantewada,75.48,53.22,70.5087,52.28,90.66,173.4124,10.12,10.16,100.3953,137.88,154.04,111.7203
Dhamtari,1901.01,1436.07,75.5425,322,513.64,159.5155,105,81.02,77.1619,2328.01,2030.73,87.2303
Durg,2904.27,1984.19,68.3197,1003.86,5915.68,589.2933,185.57,405.89,218.7261,4093.7,8305.76,202.8913
Gariaband,900.45,621.33,69.0022,77.43,178.55,230.5954,84.19,12.22,14.5148,1062.07,812.1,76.4639
Gaurela-Pendra-Marwahi,285.04,173.19,60.7599,220.97,135.55,61.3432,102.09,18.51,18.1311,608.1,327.25,53.8152
Janjgir-Champa,989.82,833.05,84.1618,264,617.53,233.9129,92.76,123.42,133.053,1346.58,1574,116.8887
Jashpur,616.2,310.44,50.3797,74.38,364.02,489.4058,60.07,48.06,80.0067,750.65,722.52,96.2526
Kabirdham,1390.85,1140.54,82.0031,130.25,367.56,282.1958,112.58,163.58,145.3011,1633.68,1671.68,102.326
Kanker,687.23,825.36,120.0995,273.49,349.79,127.8986,214.48,44.56,20.7758,1175.2,1219.71,103.7874
Khairagarh-Chhuikhadan-Gandai,681.65,628.92,92.2644,23,59.88,260.3478,26.03,79.01,303.5344,730.68,767.81,105.0816
Kondagaon,428.21,395.86,92.4453,78.5,200.93,255.9618,45.24,30.67,67.794,551.95,627.46,113.6806
Korba,510.89,399.87,78.2693,485.51,1556.45,320.5804,142.35,136.85,96.1363,1138.75,2093.17,183.813
Korea,122.72,142.1,115.792,60.51,131.14,216.7245,46.14,18.6,40.3121,229.37,291.84,127.2355
Mahasamund,2219.23,1756.01,79.127,255.85,433.01,169.2437,88.53,63.93,72.2128,2563.61,2252.95,87.8819
Manendragarh-Chirmiri-Bharatpur,170.61,210.48,123.3691,64.62,204.71,316.7905,45.72,12.88,28.1715,280.95,428.07,152.3652
Mohla-Manpur-Ambagarh Chowki,214.45,199.84,93.1872,22.67,39.98,176.3564,29.91,42.92,143.4972,267.03,282.74,105.8832
Mungeli,684.82,560.43,81.8361,138.96,177.22,127.5331,170.62,27.2,15.9419,994.4,764.85,76.9157
Narayanpur,67,60.5,90.2985,15.42,42.14,273.2815,17.79,12.61,70.8825,100.21,115.25,115.0085
Raigarh,1047.12,861.34,82.258,521.11,2243.41,430.506,407.99,120.1,29.437,1976.22,3224.85,163.1827
Raipur,6622.71,5011.98,75.6787,5882.65,23215.57,394.6448,1828.02,3614.47,197.726,14333.38,31842.02,222.1529
Rajnandgaon,1989.15,1415.71,71.1716,199.21,940.14,471.9341,193.96,243.07,125.3197,2382.32,2598.92,109.092
Sakti,671.54,492.61,73.3553,178.55,324.46,181.7194,53.74,61.59,114.6074,903.83,878.66,97.2152
Sarangarh-Bilaigarh,535.27,506.25,94.5784,234.98,132.83,56.5282,30.83,15.01,48.6863,801.08,654.09,81.651
Sukma,109.7,65.62,59.8177,17.78,37.44,210.5737,6.63,6.25,94.2685,134.11,109.31,81.5077
Surajpur,629.22,445.67,70.829,87.65,338.35,386.024,86.08,53.3,61.9191,802.95,837.32,104.2805
Surguja,915.79,679.42,74.1895,278.55,1059.59,380.3949,34.69,103.34,297.8956,1229.03,1842.35,149.9028
