district,total_atm,atm_rural,atm_semi_urban,atm_urban,atm_rural_prev_fy,atm_rural_prev_q,atm_rural_growth_abs,atm_rural_growth_pct,atm_semi_urban_prev_fy,atm_semi_urban_prev_q,atm_semi_urban_growth_abs,atm_semi_urban_growth_pct,atm_urban_prev_fy,atm_urban_prev_q,atm_urban_growth_abs,atm_urban_growth_pct,atm_total_prev_fy,atm_total_prev_q,atm_total_growth_abs,atm_total_growth_pct
Balod,87,38,48,1,37,41,1,2.7027,46,50,2,4.3478,1,1,0,0,84,92,3,3.5714
Baloda Bazar,94,23,69,2,20,24,3,15,72,70,-3,-4.1667,2,2,0,0,94,96,0,0
Balrampur,39,19,18,2,18,18,1,5.5556,15,17,3,20,1,2,1,100,34,37,5,14.7059
Bastar,123,34,3,86,22,25,12,54.5455,5,4,-2,-40,83,83,3,3.6145,110,112,13,11.8182
Bemetara,57,24,32,1,21,26,3,14.2857,30,33,2,6.6667,1,1,0,0,52,60,5,9.6154
Bijapur,22,11,11,0,8,9,3,37.5,11,11,0,0,0,0,0,0,19,20,3,15.7895
Bilaspur,317,29,37,251,28,28,1,3.5714,34,36,3,8.8235,258,259,-7,-2.7132,320,323,-3,-0.9375
Dantewada,52,8,44,0,6,6,2,33.3333,43,45,1,2.3256,0,0,0,0,49,51,3,6.1224
Dhamtari,89,26,20,43,21,23,5,23.8095,25,26,-5,-20,46,45,-3,-6.5217,92,94,-3,-3.2609
Durg,459,50,33,376,49,50,1,2.0408,29,30,4,13.7931,383,384,-7,-1.8277,461,464,-2,-0.4338
Gariaband,51,25,25,1,23,25,2,8.6957,23,24,2,8.6957,0,1,1,0,46,50,5,10.8696
Gaurela-Pendra-Marwahi,26,1,24,1,0,1,1,0,22,22,2,9.0909,1,1,0,0,23,24,3,13.0435
Janjgir-Champa,115,35,78,2,35,37,0,0,74,77,4,5.4054,1,1,1,100,110,115,5,4.5455
Jashpur,63,11,47,5,10,11,1,10,46,47,1,2.1739,2,2,3,150,58,60,5,8.6207
Kabirdham,71,18,52,1,15,18,3,20,53,55,-1,-1.8868,1,1,0,0,69,74,2,2.8986
Kanker,78,28,49,1,24,28,4,16.6667,48,52,1,2.0833,1,1,0,0,73,81,5,6.8493
Khairagarh-Chhuikhadan-Gandai,25,8,15,2,7,9,1,14.2857,14,15,1,7.1429,2,2,0,0,23,26,2,8.6957
Kondagaon,47,9,36,2,5,7,4,80,33,35,3,9.0909,1,2,1,100,39,44,8,20.5128
Korba,176,22,23,131,21,23,1,4.7619,21,22,2,9.5238,126,129,5,3.9683,168,174,8,4.7619
Korea,44,3,39,2,2,3,1,50,38,39,1,2.6316,1,2,1,100,41,44,3,7.3171
Mahasamund,98,33,65,0,31,32,2,6.4516,67,66,-2,-2.9851,0,0,0,0,98,98,0,0
Manendragarh-Chirmiri-Bharatpur,36,8,26,2,8,9,0,0,23,26,3,13.0435,1,2,1,100,32,37,4,12.5
Mohla-Manpur-Ambagarh Chowki,17,15,1,1,15,17,0,0,1,1,0,0,0,0,1,0,16,18,1,6.25
Mungeli,42,9,31,2,6,6,3,50,27,29,4,14.8148,8,8,-6,-75,41,43,1,2.439
Narayanpur,21,1,20,0,1,1,0,0,20,20,0,0,0,0,0,0,21,21,0,0
Raigarh,162,31,40,91,27,30,4,14.8148,39,39,1,2.5641,92,93,-1,-1.087,158,162,4,2.5316
Raipur,794,87,64,643,77,87,10,12.987,64,67,0,0,638,630,5,0.7837,779,784,15,1.9255
Rajnandgaon,132,22,16,94,19,20,3,15.7895,19,19,-3,-15.7895,89,89,5,5.618,127,128,5,3.937
Sakti,42,20,22,0,16,19,4,25,22,24,0,0,1,1,-1,-100,39,44,3,7.6923
Sarangarh-Bilaigarh,45,15,29,1,12,15,3,25,28,28,1,3.5714,1,1,0,0,41,44,4,9.7561
Sukma,16,7,9,0,6,7,1,16.6667,10,9,-1,-10,0,0,0,0,16,16,0,0
Surajpur,56,16,38,2,13,16,3,23.0769,38,40,0,0,2,2,0,0,53,58,3,5.6604
Surguja,111,28,2,81,23,26,5,21.7391,1,2,1,100,81,82,0,0,105,110,6,5.7143
