District,name_of_the_district,cd_ratio,s_n,district_name,sub_district_name,village_name,population
Alluri Sitharama Raju,,117.0,,,,,
Anakapalli,,156.0,,,,,
Anantapur,,149.0,,,,,
Annamayya,,139.0,,,,,
Bapatla,,181.0,,,,,
Chittoor,,112.0,17.0,,,,3466.0
East Godavari,,164.0,,,,,
Eluru,,175.0,21.0,,,,7084.0
Guntur,,125.0,,,,,
Kakinada,,140.0,16.0,,,,5069.0
Konaseema,,181.0,,,,,
Krishna,,179.0,,,,,
Kurnool,,145.0,,,,,
Palnadu,,,19.0,,,,5971.0
