District,217th_meeting_of_slbc_name_of_the_district,convener_cd_ratio
Nandyal,,172.0
Ntr,,170.0
Palnadu,,218.0
Parvathipuram Manyam,,154.0
Prakasam,,184.0
Spsr Nellore,,163.0
Sri Sathya Sai,,159.0
Srikakulam,,136.0
Tirupati,,80.0
Visakhapatanam,,122.0
Vizianagaram,,144.0
West Godavari,,191.0
Y.s.r.,,148.0
