district,no_of_beneficiaries_i_male,no_of_beneficiaries_i_female,out_of_i_no_of_bank_credit_linked_ii_male,out_of_i_no_of_bank_credit_linked_ii_female
Almora,167,395,99,182
Bageshwar,237,244,106,101
Chamoli,13,495,6,237
Champawat,195,256,116,181
Dehradun,0,494,9,148
Haridwar,0,515,0,153
Nainital,40,338,6,202
Pauri Garhwal,5,480,2,350
Pithoragarh,54,412,14,206
Rudraprayag,148,232,54,108
Tehri Garhwal,0,521,2,293
Udham Singh Nagar,37,447,44,161
Uttarkashi,0,531,0,420
