district,total_no_of_shg,out_of_1_no_of_shgs_credit_linkage,average_ticket_size_of_shg_loan_o_s_total_credit_o_s_of_shg_no_of_credit_linked_shgs,total_no_of_jlg,loan_o_s_to_jlgs,average_ticket_size_of_jlg_loan_o_s_total_credit_o_s_of_jlg_no_of_jlgs,no_of_beneficiaries_i_male,no_of_beneficiaries_i_female,out_of_i_no_of_bank_credit_linked_ii_male,out_of_i_no_of_bank_credit_linked_ii_female,no_of_beneficiaries,out_of_i_no_of_bank_credit_linked_ii
Almora,4525,2720,112000,306,1.33,43464,289,426,0,0,1793,667
Bageshwar,3090,1785,112000,28,0.1,35714,0,0,0,0,1490,0
Chamoli,3727,2430,123000,51,0.4,78431,28,106,4,7,3014,1987
Champawat,2832,1570,97000,428,5.93,138551,0,0,0,0,,0
Dehradun,3520,2145,122000,26928,91.81,34095,6485,7845,0,0,2625,2478
Haridwar,3169,2075,127000,52338,195.71,37393,0,0,0,0,515,168
Nainital,1564,840,117000,10286,45.14,43884,0,0,0,0,,0
Pauri Garhwal,5740,3650,92000,1758,9.29,52844,126,98,8,6,5257,3158
Pithoragarh,3846,2240,95000,173,0.73,42196,416,526,0,0,1896,912
Rudraprayag,1021,628,100000,9,0.02,22222,16,130,7,79,1164,992
Tehri Garhwal,5204,3350,90000,484,8.2,169421,120,45,20,12,0,0
Udham Singh Nagar,2959,2085,110000,25342,93.1,36737,3624,3478,256,222,5112,3255
Uttarkashi,2963,1940,118000,117,0.99,84615,0,0,0,0,531,420
