district,no_of_financial_literacy_centres_flcs,implementation_of_centre_for_financial_literacy_cfl_at_block_level_in_phase_i_no_of_benefic_iaries,no_of_beneficiaries_i_male,no_of_beneficiaries_i_female,out_of_i_no_of_bank_credit_linked_ii_male,out_of_i_no_of_bank_credit_linked_ii_female
Almora,1,2,167,395,99,182
Bageshwar,1,1,237,244,106,101
Chamoli,1,1,13,495,6,237
Champawat,1,1,195,256,116,181
Dehradun,1,1,0,494,9,148
Haridwar,1,1,0,515,0,153
Nainital,,1,40,338,6,202
Pauri Garhwal,1,2,5,480,2,350
Pithoragarh,1,1,54,412,14,206
Rudraprayag,0,1,148,232,54,108
Tehri Garhwal,2,2,0,521,2,293
Udham Singh Nagar,2,1,37,447,44,161
Uttarkashi,1,1,0,531,0,420
