district,total_deposite,total_advances,c_d_ratio_pct,total_deposit
Almora,712000,185800,26,712000
Bageshwar,218500,57500,26,218500
Chamoli,411200,288300,70,411200
Champawat,266900,89400,34,266900
Dehradun,7217900,2533000,35,7217900
Haridwar,2431300,1607600,66,2431300
Nainital,2039300,536400,41,2039300
Pauri Garhwal,1015900,268200,26,1015900
Pithoragarh,516700,235000,45,516700
Rudraprayag,228400,64300,28,228400
Tehri Garhwal,595800,192800,32,595800
Udham Singh Nagar,1755600,1802800,103,1755600
Uttarkashi,245900,127600,52,245900
