district,no_of_atm_cum_debit_cards_21_i_no,no_of_internet_banking_subscribers_21_ii_no,no_of_mobile_banking_subscribers_21_iii_no,no_of_aeps_subscribers_21_iv_no
Almora,5.35,1.98,2.27,1.48
Bageshwar,2.35,1.31,0.88,0.9
Chamoli,3.96,1.48,1.21,1.22
Champawat,2.21,0.54,0.88,0.86
Dehradun,18.1,4.25,2.7,2.6
Haridwar,17.58,4.1,2.33,9.96
Nainital,7.1,3.07,1.73,1.73
Pauri Garhwal,4.27,1.78,1.34,1.38
Pithoragarh,3.62,1.35,0.86,0.78
Rudraprayag,2.28,0.19,0.45,0.45
Tehri Garhwal,4.76,1.58,0.84,0.84
Udham Singh Nagar,17.61,6.15,2.66,2.2
Uttarkashi,3.75,0.59,0.82,0.88
