district,no_of_bsbda_per_one_lakh_population_i_no,no_of_pm_jdy_a_c_p_er_one_lak_h_population_ii_no,i_no_of_credit_accounts_per_one_lakh_population,no_of_active_pmjdy_a_c,out_of_i_availing_od_facility_ii,49214_53316
Almora,11687,18664,13789,103843,15377,13789
Bageshwar,10325,16740,11951,43690,185,11951
Chamoli,11039,17834,14712,59768,1236,14712
Champawat,11850,18648,15445,44343,141,15445
Dehradun,20815,29017,30230,435984,20490,30230
Haridwar,39590,37681,21305,608311,24615,21305
Nainital,21513,26045,23148,213114,5500,23148
Pauri Garhwal,10890,16281,13733,95251,1122,13733
Pithoragarh,9230,13201,16560,56920,824,16560
Rudraprayag,13540,17110,13045,34217,830,13045
Tehri Garhwal,11930,19401,15130,109703,1020,15130
Udham Singh Nagar,47830,49031,30240,671036,31542,30240
Uttarkashi,17245,26645,20215,79250,1654,20215
