district,total_no_of_kcc_issued,total_no_of_kcc_issued_amt_o_s,total_no_of_kcc_issued_to_sf_mf,total_no_of_kcc_issued_to_sf_mf_amt_o_s,total_no_of_shg,out_of_1_no_of_shgs_credit_linkage,average_ticket_size_of_shg_loan_o_s_total_credit_o_s_of_shg_no_of_credit_linked_shgs
Almora,33125,18340,33125,18340,4525,2720,112000
Bageshwar,11587,4310,11587,4310,3090,1785,112000
Chamoli,20578,8075,20578,8075,3727,2430,123000
Champawat,12879,8966,12879,8966,2832,1570,97000
Dehradun,39258,51152,35422,46153,3520,2145,122000
Haridwar,118307,163354,97698,134901,3169,2075,127000
Nainital,58513,88246,49813,75125,1564,840,117000
Pauri Garhwal,31697,6818.000000000001,31697,6818.000000000001,5740,3650,92000
Pithoragarh,32622,27562,32622,27562,3846,2240,95000
Rudraprayag,12752,4084.0000000000005,12752,4084.0000000000005,1021,628,100000
Tehri Garhwal,41061,18195,41061,18195,5204,3350,90000
Udham Singh Nagar,147250,364556,124058,307009,2959,2085,110000
Uttarkashi,34993,25983.999999999996,34993,25983.999999999996,2963,1940,118000
