district,no_of_bank_branches_per_one_lakh_population,no_of_bc_outlets_per_one_lakh_population_ii,no_of_atms_per_one_lakh_population_iii
Almora,25,32,25
Bageshwar,20,26,14
Chamoli,25,28,20
Champawat,24,27,22
Dehradun,35,23,49
Haridwar,15,26,53
Nainital,25,33,33
Pauri Garhwal,29,22,22
Pithoragarh,22,25,16
Rudraprayag,24,24,10
Tehri Garhwal,23,22,24
Udham Singh Nagar,19,25,41
Uttarkashi,21,35,26
