district,S.No.,Block,ATM Allocation
Dhalai,8,Salema,Punjab National Bank
Gomati,16,Tepania,State Bank of India
Khowai,22,Tulashikhar,Tripura Gramin Bank
North Tripura,30,Panisagar,Punjab National Bank
Sepahijala,37,Nalchar,State Bank of India
South Tripura,38,Bharat Chandra Nagar,State Bank of India
