District,Bank Name,Cum No. of App Rcvd,Cum No App Accepted,Cum No_App Sanc,Cum No_App Rej
West Tripura,Bank of India,6,6,0,0
South Tripura,Union Bank of India,5,5,0,0
Dhalai,Bank of India,10,10,3,5
North Tripura,Punjab National Bank (including TGB),7,7,0,0
Khowai,Cooperative Bank,15,15,7,8
Sepahijala,State Bank of India,21,21,5,6
Gomati,State Bank of India,1,1,0,1
Unakoti,Punjab National Bank (including TGB),21,21,0,0
