District,CD Ratio December 2020,CD Ratio March 2021,CD Ratio December 2021,CD Ratio Since December 2020
Dhalai,97,96,99,+2
Gomati,60,63,67,+7
Khowai,61,52,66,+5
North Tripura,57,62,64,+7
Sepahijala,71,68,56,-15
South Tripura,61,57,67,+6
Unakoti,61,64,72,+11
West Tripura,48,47,48,No Change
