district,aadhaar_authenticated_sb_accounts,first_time_active_rupay_card,inactive_csps,rupay_card_active_in_pmjdy,rupay_card_issued_in_kcc
Bajali,125100,10106,4,32647,3588
Baksa,185131,17008,9,47768,4648
Barpeta,831436,60878,50,243347,15061
Biswanath,227921,35110,8,81586,9306
Bongaigaon,319506,22103,9,109737,9851
Cachar,557205,38774,138,326623,11658
Charaideo,81738,4572,4,68972,4658
Chirang,221588,31147,8,53866,3921
Darrang,428451,24445,37,172459,14005
Dhemaji,233514,37572,19,106556,8839
Dhubri,648078,49717,57,332743,8288
Dibrugarh,509068,43252,106,177209,25318
Dima Hasao,53901,2478,3,19595,157
Goalpara,576812,29265,23,146051,11761
Golaghat,311311,30350,38,194307,21236
Hailakandi,283571,16440,13,116426,5618
Hojai,332514,26805,15,213338,5590
Jorhat,337467,22243,77,143109,16872
Kamrup,731661,49719,34,295839,32749
Kamrup Metro,983565,29116,1812,101152,4658
Karbi Anglong,145538,8947,14,36073,4750
Karimganj,327540,21709,18,220840,3961
Kokrajhar,445922,26183,21,80256,9350
Lakhimpur,299392,41136,13,167349,14074
Majuli,51934,3368,5,40117,1752
Nagaon,821652,52272,355,383795,26344
Nalbari,422233,18654,16,76989,10798
Sivasagar,237816,16785,94,114105,8060
Sonitpur,584375,29129,155,164110,13154
Tamulpur,152110,17107,14,42578,2170
Tinsukia,539183,32287,86,192242,15358
Udalguri,445030,33734,23,75571,12239
