district,cy_shg_amt,cy_shg_no,irregular_amt,irregular_no,npa_amt,npa_no,npa_pct,os_amt,os_no
Bajali,4127.36,814,124.50,48,73.81,56,0.76,9721.15,2882
Baksa,6340.50,1284,158.62,94,109.97,68,0.75,14745.07,4638
Barpeta,22968.71,4017,1084.25,662,303.42,347,0.82,37170.15,11953
Biswanath,11336.41,3022,778.50,321,144.02,136,0.50,29008.41,8978
Bongaigaon,12202.17,2449,595.29,464,88.34,96,0.40,22015.72,6769
Cachar,12699.47,3218,588.07,675,111.22,144,0.41,27376.80,9691
Charaideo,4189.67,864,111.17,140,74.55,85,0.51,14649.15,4698
Chirang,6447.80,1773,431.74,274,75.05,100,0.54,13846.31,4258
Darrang,17761.50,3866,619.19,722,110.22,113,0.35,31212.91,10434
Dhemaji,13980.02,3340,620.14,455,74.58,135,0.26,28439.04,8564
Dhubri,14768.74,4390,994.99,828,211.29,398,0.79,26761.33,10978
Dibrugarh,21989.60,4945,1220.77,699,205.23,290,0.54,38188.69,10556
Dima Hasao,1147.73,266,242.23,115,84.24,38,1.95,4323.87,1444
Goalpara,12566.39,2679,760.53,531,82.53,116,0.31,26984.19,7965
Golaghat,20233.07,4263,821.75,889,235.29,162,0.51,46158.43,12326
Hailakandi,3883.83,1212,469.72,540,275.08,270,2.83,9714.43,4066
Hojai,8521.95,1982,285.91,243,58.01,71,0.32,18000.08,6148
Jorhat,14589.57,3014,806.38,573,165.60,105,0.53,31506.22,9197
Kamrup,28374.05,5935,1592.57,986,285.67,404,0.56,51383.38,14595
Kamrup Metro,6154.82,1272,147.64,150,125.29,131,1.06,11789.88,4250
Karbi Anglong,5408.49,1106,85.17,61,74.50,96,0.26,28913.28,7488
Karimganj,5561.64,1381,497.11,368,141.64,146,1.01,13998.54,4996
Kokrajhar,12326.91,3100,857.03,641,110.61,114,0.53,20707.98,6726
Lakhimpur,17761.00,4236,1179.32,586,126.32,177,0.34,37366.45,12338
Majuli,4237.23,711,102.59,87,67.36,49,1.00,6752.82,2338
Nagaon,30977.61,6658,1488.94,870,335.07,344,0.58,57679.35,19074
Nalbari,17579.81,3127,713.78,316,114.81,153,0.34,33578.44,9295
Sivasagar,9513.33,2148,290.38,411,116.06,119,0.54,21689.45,7101
Sonitpur,20151.79,4187,1288.76,605,185.67,320,0.54,34399.98,10945
Tamulpur,6264.39,1191,323.27,194,22.43,17,0.18,12265.11,3667
Tinsukia,14977.61,3004,886.53,667,144.08,194,0.44,32640.18,9181
Udalguri,14100.53,2962,975.93,720,211.24,195,0.92,22930.30,6778
