district,credit_linked_amt,credit_linked_no,credit_linked_no_cy,cy_credit_linked_amt,cy_savings_linked_amt,npa_amt,npa_no,npa_pct,os_amt,os_no,savings_linked_amt,savings_linked_no,savings_linked_no_cy
Bajali,4054.54,802,218,1078.28,45.25,96.82,92,0.92,10532.20,3246,317.00,369,59
Baksa,5485.03,1090,307,1631.39,0.32,141.75,185,0.99,14326.52,4604,17.82,140,41
Barpeta,24035.27,4770,912,4560.91,354.79,506.63,726,1.27,40001.30,13182,651.64,1446,350
Biswanath,15153.53,3854,443,1979.50,27.25,289.27,744,1.03,28134.84,9511,325.72,952,192
Bongaigaon,11619.20,2523,493,2402.51,18.91,151.59,208,0.69,21912.60,6900,99.32,443,82
Cachar,14559.06,4393,588,1976.96,1.17,201.02,446,0.73,27720.68,10540,235.40,704,86
Charaideo,3904.97,945,196,994.46,42.74,97.23,122,0.63,15476.06,5025,56.90,79,37
Chirang,6053.46,1725,143,627.66,0.70,90.28,159,0.72,12495.82,3934,11.23,137,30
Darrang,15724.16,3899,744,3462.19,65.31,422.33,510,1.43,29512.83,10580,136.21,816,145
Dhemaji,15877.52,4756,750,2980.29,16.09,256.66,425,0.80,31901.40,9813,192.62,1010,105
Dhubri,16648.10,5879,484,1552.79,71.50,373.18,761,1.29,28925.70,12303,493.78,1151,118
Dibrugarh,21871.16,6174,818,4256.38,140.68,283.80,411,0.76,37406.30,10740,600.13,1645,297
Dima Hasao,1183.07,313,108,469.95,0.17,101.09,73,2.14,4717.89,1622,1.37,82,24
Goalpara,10513.21,2321,515,2620.17,7.74,320.09,597,1.33,24041.33,7677,137.36,226,37
Golaghat,22792.16,5507,855,4400.76,19.92,297.74,239,0.62,47990.99,12939,374.60,1235,127
Hailakandi,3904.42,1416,146,396.78,5.56,386.04,528,4.05,9522.16,4271,55.48,256,23
Hojai,8235.08,2331,273,1172.54,62.72,130.98,184,0.70,18753.65,6741,189.20,559,151
Jorhat,15548.94,3553,605,3295.23,64.98,181.83,148,0.57,32116.93,9590,7571.94,598,97
Kamrup,28322.71,6892,924,4648.48,102.54,678.06,940,1.48,45711.46,13788,601.10,1700,223
Kamrup Metro,7847.10,1804,485,2163.40,613.76,236.43,252,1.63,14548.42,5558,677.23,690,222
Karbi Anglong,5366.12,1144,362,1700.61,3.43,101.75,204,0.34,30273.96,8054,5.19,66,25
Karimganj,4438.06,1359,267,852.11,12.89,250.97,490,1.76,14231.43,5593,49.41,393,186
Kokrajhar,11574.34,3182,311,1400.85,15.84,160.64,267,0.77,20936.76,7093,51.05,322,71
Lakhimpur,19250.03,5456,950,3970.88,50.60,241.00,664,0.61,39556.87,13483,1250.69,1118,134
Majuli,3646.99,696,151,904.37,1.75,90.13,111,1.30,6917.91,2438,6.44,106,37
Nagaon,27627.98,6287,1416,6683.26,56.94,504.63,576,0.88,57127.02,19588,219.76,1049,237
Nalbari,16902.39,3206,669,3937.94,194.20,278.72,486,0.86,32481.99,9465,471.86,429,179
Sivasagar,9078.36,2473,374,1691.89,40.11,168.50,171,0.75,22480.64,7581,98.02,537,72
Sonitpur,16696.72,3900,768,4051.72,131.67,380.15,857,1.17,32587.02,10968,56772.59,521,166
Tamulpur,5455.25,1112,298,1879.72,18.51,37.98,54,0.33,11470.04,3564,35.44,133,52
Tinsukia,12996.77,3117,598,2822.53,22.72,209.82,358,0.67,31170.57,9292,214.96,1256,361
Udalguri,12545.42,3079,465,2303.98,133.52,349.90,462,1.70,20627.55,6396,342.18,471,185
