district,cy_disbursed_amt,cy_disbursed_no,cy_sanction_amt,cy_sanction_no,npa_amt,npa_no,npa_pct,os_amt,os_no
Bajali,472.00,125,512.57,124,152.54,84,14.88,1025.08,294
Baksa,77.04,19,73.62,16,391.51,294,52.08,751.80,437
Barpeta,856.03,183,889.67,135,810.88,556,24.66,3288.08,1287
Biswanath,246.59,87,202.96,35,158.60,105,17.64,899.26,299
Bongaigaon,400.41,116,393.83,70,369.32,249,21.80,1693.99,625
Cachar,1199.67,223,1295.32,187,760.18,435,20.03,3794.63,1173
Charaideo,85.02,18,90.29,17,169.08,82,39.15,431.86,162
Chirang,226.63,59,242.18,51,668.83,706,50.91,1313.74,969
Darrang,233.32,77,209.26,32,378.34,265,35.24,1073.47,527
Dhemaji,611.08,203,696.09,116,697.99,387,27.89,2503.06,925
Dhubri,386.99,116,493.38,95,774.71,688,30.91,2506.08,1376
Dibrugarh,966.59,315,1044.58,172,1112.93,576,26.41,4213.90,1410
Dima Hasao,78.07,36,56.59,14,144.73,74,29.43,491.83,222
Goalpara,106.86,33,127.02,21,428.50,382,43.57,983.45,575
Golaghat,276.96,117,245.49,39,472.52,377,34.41,1373.28,619
Hailakandi,263.98,81,273.64,62,397.01,238,22.16,1791.26,653
Hojai,302.84,69,327.32,53,273.05,130,22.04,1238.79,390
Jorhat,388.03,92,367.73,65,316.14,211,21.65,1460.37,509
Kamrup,813.78,230,829.31,148,766.43,595,22.78,3365.09,1429
Kamrup Metro,1122.94,202,1035.80,104,897.98,395,18.47,4862.39,1202
Karbi Anglong,229.76,62,224.12,39,154.77,176,21.94,705.55,380
Karimganj,272.72,62,304.98,53,453.20,248,27.79,1630.69,556
Kokrajhar,384.55,110,372.23,79,1152.78,1084,50.39,2287.78,1531
Lakhimpur,567.84,183,682.57,108,964.41,552,26.74,3606.65,1175
Majuli,94.76,18,114.50,18,90.32,48,21.29,424.15,172
Nagaon,1115.60,210,1150.02,150,1069.32,602,21.39,4998.20,1377
Nalbari,294.79,94,289.99,59,687.09,376,32.74,2098.68,788
Sivasagar,694.22,178,685.93,101,505.13,253,19.37,2607.37,714
Sonitpur,921.52,213,976.91,136,728.80,429,21.55,3381.97,1214
Tamulpur,564.59,17,574.83,17,132.89,85,45.52,291.93,157
Tinsukia,812.14,225,973.97,181,986.29,539,22.21,4441.35,1435
Udalguri,67.43,15,109.83,16,1584.49,1016,83.65,1894.23,1108
