district,bharat_qr_code_a_c,bharat_qr_code_amt,bhim_aadhaar_a_c,bhim_aadhaar_amt,bhim_upi_a_c,bhim_upi_amt,debit_credit_cards_a_c,debit_credit_cards_amt,imps_a_c,imps_amt,ussd_a_c,ussd_amt
Bajali,2489,586.14,934,110.15,24791613,341794.65,221851,9438.27,200199,845019.96,86898,2424.49
Baksa,303,26.08,391,1192.99,25512828,294242.48,137908,8875.33,166305,224326.79,49743,1308.38
Barpeta,7589,1594.32,4841,21957.00,109520931,1604025.42,512287,28895.47,983993,3317361.79,147831,4286.67
Biswanath,3575,512.82,406,3510.08,52416996,541127.93,444906,20275.31,607504,1904294.16,85635,2282.80
Bongaigaon,10259,1518.01,890,6006.12,57515737,847456.86,517935,25987.01,483811,3034360.82,152256,4219.72
Cachar,71967,2692.08,1993,8589.19,125893687,1721735.93,1220300,61719.62,1203638,2839587.48,361322,9716.44
Charaideo,1307,213.78,256,1222.54,28443263,280497.08,201683,8688.23,375480,461523.03,38441,1215.59
Chirang,2166,515.40,519,1886.88,28301679,374579.93,124826,7050.60,179711,564801.56,113906,3039.12
Darrang,8610,1784.09,1831,11424.03,62267073,943812.18,460400,26066.67,638119,3771132.13,74339,2265.61
Dhemaji,3798,809.37,819,10704.62,67654493,683503.66,308823,16448.74,428938,1756914.17,74656,2037.91
Dhubri,6475,948.77,2720,21329.60,97980985,1393485.67,410903,18800.33,1139950,3006362.80,100987,3462.72
Dibrugarh,24050,1234.85,2904,3463.02,135883263,2183739.36,2009378,88977.24,1346016,2122115.30,482565,12141.34
Dima Hasao,1240,209.28,86,276.37,22900967,268075.84,154248,7239.99,138709,427239.65,23783,937.86
Goalpara,6231,858.98,1707,18215.55,64245826,1041483.99,327353,21312.77,761241,2772298.34,67507,2108.73
Golaghat,12778,962.35,1424,9281.42,100029395,1071375.02,1052805,41201.66,973140,1701736.89,210774,5478.32
Hailakandi,1555,238.56,1427,3976.30,41234127,516723.20,227161,13133.98,342001,535714.13,40446,1244.86
Hojai,8037,1111.89,1376,1694.54,85036318,1111770.79,504671,27534.01,551593,1901784.83,67823,2003.79
Jorhat,44455,1972.56,4293,1311.33,93716491,1929344.30,1397829,56148.47,890709,1524795.07,494063,11740.00
Kamrup,17590,2465.80,1883,14726.40,119590948,1684501.73,1026260,63455.47,750275,5182812.78,272186,8905.56
Kamrup Metro,442689,14438.82,6917,7107.45,348437378,15177693.22,6882424,335876.22,4948876,17927209.31,2304189,53180.08
Karbi Anglong,1919,172.00,385,6061.29,56056955,585358.11,303842,15354.52,489170,690913.59,93565,2488.66
Karimganj,7416,1453.18,1311,7498.50,82602505,1261541.64,544251,30019.79,833407,1951874.20,91356,2906.38
Kokrajhar,5044,749.60,1197,6714.79,51724746,693689.62,275712,15614.39,453173,2151331.44,132984,4485.87
Lakhimpur,7041,785.80,1195,13395.61,99784413,1024171.62,616139,31400.60,978508,3164405.65,104741,2994.11
Majuli,1389,147.13,83,494.66,12285890,108954.37,127719,5926.70,123746,243690.53,13166,343.06
Nagaon,21374,1243.60,5083,35211.58,132500381,1804469.64,973964,51803.51,1258850,2804438.79,246650,7411.44
Nalbari,5013,970.18,1066,7568.39,53232383,675543.36,425133,25719.98,498918,1062800.56,147814,4057.86
Sivasagar,104061,1428.00,951,1954.99,82263438,855939.57,905797,35334.76,793076,883421.91,275265,7492.92
Sonitpur,49454,2112.82,1446,7018.46,99162817,1225226.36,974116,49644.96,1170470,2579599.63,501497,10763.12
Tamulpur,1673,182.49,178,2536.31,22012249,240271.57,53990,5558.05,85492,705694.16,47897,1213.02
Tinsukia,42253,1804.93,7454,7384.18,96665009,1188145.49,1180119,57636.19,1030329,2166532.27,218536,5409.34
Udalguri,3401,597.27,1736,6658.18,50806760,563722.17,186851,17562.73,319864,1596719.64,80700,2044.01
