district,buddhists_amt,buddhists_no,christians_amt,christians_no,jains_amt,jains_no,muslims_amt,muslims_no,sikhs_amt,sikhs_no,total_amt,total_no,zorastrians_amt,zorastrians_no
Bajali,0.00,0,62.99,5,0.50,1,4591.68,2557,0.00,0,4655.17,2563,0.00,0
Baksa,9.49,2,101.19,33,3.60,4,2275.28,949,0.00,0,2389.56,988,0.00,0
Barpeta,28.60,10,452.51,60,237.78,8,65839.50,26274,26.07,3,66586.62,26356,2.16,1
Biswanath,144.11,4,260.07,156,24.78,7,3917.29,2094,17.21,4,4363.46,2265,0.00,0
Bongaigaon,140.03,171,1592.84,448,440.51,11,22232.59,8428,156.34,17,24564.07,9078,1.76,3
Cachar,87.48,47,2971.97,876,3080.88,40,46402.71,18495,185.85,23,52728.89,19481,0.00,0
Charaideo,84.86,23,111.51,77,45.91,1,1358.06,583,142.44,17,1742.78,701,0.00,0
Chirang,25.49,4,790.90,366,0.00,0,6223.90,3088,19.97,3,7061.26,3462,1.00,1
Darrang,21.62,11,363.51,99,548.48,12,38429.63,16839,0.00,0,39364.04,16962,0.80,1
Dhemaji,27.36,9,310.78,59,14.80,5,574.11,196,40.87,5,968.32,275,0.40,1
Dhubri,6.22,5,391.62,426,173.92,15,48995.58,24051,53.36,10,49657.70,24510,37.00,3
Dibrugarh,260.41,76,1917.67,514,1018.92,37,9497.95,3362,1025.75,114,13720.70,4103,0.00,0
Dima Hasao,48.20,7,5958.65,1330,0.00,0,775.54,134,19.87,3,6802.26,1474,0.00,0
Goalpara,19.89,2,1271.62,867,120.59,4,29356.55,9794,20.55,10,30792.81,10680,3.61,3
Golaghat,142.73,49,895.00,365,855.82,23,7874.35,3133,369.10,46,10137.50,3617,0.50,1
Hailakandi,0.50,1,281.27,98,0.50,1,13116.76,5588,1.70,2,13400.73,5690,0.00,0
Hojai,43.68,11,277.32,100,25.35,2,17198.11,8574,123.88,24,17668.34,8711,0.00,0
Jorhat,449.41,90,1018.48,301,1379.90,44,7726.85,2746,1321.90,54,12036.69,3237,140.15,2
Kamrup,144.00,44,1039.35,454,2178.78,34,35739.79,19609,49.71,14,39153.64,20157,2.01,2
Kamrup Metro,504.73,174,9047.29,1679,45953.69,308,70703.11,14780,7667.52,162,133911.34,17104,35.00,1
Karbi Anglong,147.04,31,2986.39,907,115.64,6,1434.56,347,53.18,9,4736.81,1300,0.00,0
Karimganj,5.80,3,460.14,250,159.25,8,25275.76,8698,102.93,9,26015.57,8969,11.69,1
Kokrajhar,59.99,4,2524.27,866,458.13,5,16376.61,7084,26.83,4,19445.83,7963,0.00,0
Lakhimpur,318.06,28,1717.74,461,43.03,6,15954.01,8560,36.31,20,18754.23,9080,685.08,5
Majuli,0.00,0,21.08,4,0.00,0,84.70,12,0.00,0,105.78,16,0.00,0
Nagaon,25.08,10,615.66,288,1631.09,28,68637.71,41122,472.12,58,71383.46,41508,1.80,2
Nalbari,22.13,11,127.34,19,1251.46,18,17339.98,7671,261.22,8,19002.13,7727,0.00,0
Sivasagar,239.63,89,369.15,137,50.25,8,19861.17,4140,88.89,12,20609.09,4386,0.00,0
Sonitpur,1047.78,93,2190.25,740,124.11,17,17888.94,10933,457.46,61,21708.54,11844,0.00,0
Tamulpur,5.50,3,73.57,37,0.16,1,1285.69,386,3.50,7,1368.42,434,0.00,0
Tinsukia,1236.86,208,2264.17,383,1672.80,27,5000.21,1652,495.24,68,10669.28,2338,0.00,0
Udalguri,30.24,6,2989.58,912,5.95,6,4681.56,1734,1.52,5,7708.85,2663,0.00,0
