district,deposits_held_in_a_c_amt,female_no,male_no,no_of_aadhaar_seeded,no_of_rupay_card_issued,no_of_zero_balance_a_c,rupay_card_activated,rural_no,total_pmjdy_no,urban_no
Bajali,7146.57,111500,77155,104191,99780,25121,30814,139819,188655,48847
Baksa,7858.80,192215,111873,170532,149982,32803,46030,304144,304088,0
Barpeta,35214.02,840738,663915,748148,857625,167226,241937,1163681,1504653,379190
Biswanath,19681.97,375035,252584,319977,283361,108802,96751,472895,627619,56497
Bongaigaon,16896.17,341872,245916,306709,353748,73611,111964,313394,587788,175445
Cachar,40671.12,668966,492469,623818,784900,145230,322667,945712,1161435,206546
Charaideo,9713.65,187610,112367,131085,193001,43526,69226,309818,299977,39567
Chirang,10893.46,222898,141147,175714,232779,19970,63606,352163,364045,15186
Darrang,21112.35,564403,414211,504853,518440,128478,179868,761665,978614,275845
Dhemaji,16242.01,462937,332858,333052,506463,127095,115802,610258,795795,185614
Dhubri,33011.10,1127671,853437,904639,995514,261082,337858,1584826,1981108,387778
Dibrugarh,31917.22,490470,314275,462158,532726,180328,200827,536402,804745,190035
Dima Hasao,4398.69,38273,30874,34465,35694,7441,16065,56312,69147,7816
Goalpara,19114.08,542762,392667,506976,493946,154484,160452,638983,935429,297817
Golaghat,24794.60,496414,329764,435554,510297,125099,196801,590607,826178,189304
Hailakandi,17192.19,326943,243548,308839,324861,76777,117315,401244,570491,173537
Hojai,20529.89,461223,321969,437857,629981,91336,216387,413210,783192,331022
Jorhat,16830.82,340517,204829,296589,386370,103399,147996,320994,545346,221570
Kamrup,34935.52,678042,485541,577217,750979,157164,312664,1044797,1163583,112125
Kamrup Metro,23558.46,246088,189369,190855,305680,57391,100920,124916,435457,285948
Karbi Anglong,9594.18,184746,124989,156001,102472,42097,38386,234453,309735,46298
Karimganj,29621.52,486335,368286,466071,571464,128765,221785,746036,854621,105367
Kokrajhar,22238.46,448577,336263,351180,369999,85451,84931,652207,784840,98214
Lakhimpur,22124.16,504136,352832,406170,591496,114925,166067,618696,856968,194651
Majuli,2735.83,77967,51481,79429,103193,18627,42383,127227,129448,28534
Nagaon,43487.69,1204593,887429,1125371,1205259,343737,379071,1456370,2092022,631382
Nalbari,17828.08,354697,246274,323447,239106,82956,80041,461901,600971,72975
Sivasagar,13695.16,224259,145217,230774,308330,59477,119298,274963,369476,80332
Sonitpur,32857.15,587774,382724,458146,480115,109249,181839,587179,970498,270988
Tamulpur,8834.20,166672,108671,138985,165771,20996,45037,275472,275343,0
Tinsukia,31632.73,526472,309199,439710,539111,114545,199670,457081,835671,373772
Udalguri,21917.12,480466,333112,311707,356233,125136,81716,690825,813578,119899
