district,sc_disbursement_amt,sc_disbursement_no,sc_outstanding_amt,sc_outstanding_no,st_disbursement_amt,st_disbursement_no,st_outstanding_amt,st_outstanding_no
Bajali,1623.36,527,3951.16,2383,2220.61,399,5291.45,1645
Baksa,1028.34,251,3238.53,1253,7043.79,1712,21084.40,7901
Barpeta,3171.85,1221,8037.53,5031,3620.22,579,9055.18,2821
Biswanath,2452.16,981,6720.38,4527,3625.66,1278,11587.53,9179
Bongaigaon,3988.53,1159,11308.91,4891,5598.75,979,19417.23,4712
Cachar,10733.75,5816,26179.02,20762,3533.03,784,11388.08,3995
Charaideo,508.64,114,1404.58,714,760.80,173,2401.08,823
Chirang,1683.66,664,3792.71,1924,10974.78,2542,33588.04,15417
Darrang,1452.64,383,4025.70,1905,1741.98,316,4914.22,1603
Dhemaji,2333.47,527,7092.99,3230,20509.51,5210,61821.37,25589
Dhubri,2647.11,913,5935.02,3820,1740.61,756,5440.46,3667
Dibrugarh,6701.88,2308,18776.00,8792,14656.76,3755,39261.05,13600
Dima Hasao,722.64,148,1880.92,610,8812.20,1807,28970.67,8011
Goalpara,1670.80,539,4960.49,2699,6758.24,2109,19417.49,10549
Golaghat,4563.32,1805,11881.53,7690,7149.99,2221,22612.91,12880
Hailakandi,2179.37,804,5276.17,3327,719.32,144,2021.84,894
Hojai,3443.84,1384,9303.67,5602,3689.89,684,9555.82,3283
Jorhat,5480.99,1784,17021.14,8841,8911.64,2095,26599.12,13458
Kamrup,5805.29,2397,16085.51,10238,8175.27,2551,26746.39,12587
Kamrup Metro,15508.75,4214,55788.92,20288,25984.92,7160,98950.81,36927
Karbi Anglong,1814.81,375,4471.62,1487,21024.16,5213,66098.35,23550
Karimganj,4049.21,2660,9507.77,9130,725.50,244,2386.43,987
Kokrajhar,3577.07,850,6941.90,2691,28992.64,5442,82680.11,26936
Lakhimpur,4922.21,1796,14857.42,8205,18021.52,6180,58950.55,27467
Majuli,832.53,233,3102.53,1384,3366.86,969,12908.43,5368
Nagaon,6120.98,2268,17543.84,11901,7551.43,1844,20358.10,8756
Nalbari,1901.98,648,6649.71,3667,2373.95,487,7204.90,2555
Sivasagar,3955.91,1056,10643.23,4892,4380.40,1048,12302.34,4379
Sonitpur,5173.97,1451,14877.43,6698,7560.49,1754,22572.92,8344
Tamulpur,842.68,179,2583.64,1400,4325.44,830,13257.73,5201
Tinsukia,2974.97,913,9042.24,4215,9975.39,2144,29088.24,9241
Udalguri,1830.87,488,4527.10,2501,16483.85,4878,53087.17,29643
