district,no_of_aadhaar_seeded_casa,no_of_authenticated_casa,no_of_operative_casa
Bajali,222540,89015,467659
Baksa,389488,192796,606871
Barpeta,1063737,574644,2012071
Biswanath,515596,273782,962690
Bongaigaon,547041,283653,1023256
Cachar,1275322,596366,2243224
Charaideo,325970,147914,529416
Chirang,355510,219148,624342
Darrang,744463,328633,1330873
Dhemaji,545243,295361,1026450
Dhubri,1283491,577586,2134051
Dibrugarh,902058,495992,1942531
Dima Hasao,144210,69955,265124
Goalpara,772797,387406,1323504
Golaghat,835379,342974,1522656
Hailakandi,494375,242642,817227
Hojai,684241,286104,1194315
Jorhat,723205,335810,1453038
Kamrup,1183623,676346,2426752
Kamrup Metro,1065219,649853,3011859
Karbi Anglong,421610,252618,753009
Karimganj,884624,353648,1452401
Kokrajhar,705701,449576,1192381
Lakhimpur,751108,320521,1416746
Majuli,187268,97076,273408
Nagaon,1726481,765145,2786908
Nalbari,689642,410478,1262108
Sivasagar,554686,227549,1077818
Sonitpur,994420,661940,1762988
Tamulpur,280740,162744,462398
Tinsukia,685383,341562,1530138
Udalguri,507394,236489,1000789
