district,adv_rural,adv_semi_urban,adv_urban,cd_ratio_rural,cd_ratio_semi_urban,cd_ratio_urban,dep_rural,dep_semi_urban,dep_urban,overall_cd_ratio,total_advance,total_deposit
Bajali,32812.31,102370.19,1451.28,52.23,79.58,68.00,62825.39,128632.96,2134.24,70.58,136633.78,193592.59
Baksa,81896.79,5098.42,1234.86,80.23,45.89,881.10,102073.63,11109.05,140.15,77.86,88230.07,113322.83
Barpeta,118633.42,306828.16,9658.48,69.99,102.98,2630.59,169507.36,297950.72,367.16,93.01,435120.06,467825.24
Biswanath,133020.23,82400.33,6964.62,66.46,72.38,133.48,200157.43,113841.66,5217.76,69.67,222385.18,319216.85
Bongaigaon,65222.73,263172.48,3234.27,77.81,74.20,50.14,83821.85,354656.60,6450.52,74.54,331629.48,444928.97
Cachar,180991.37,25310.82,444922.21,49.59,50.13,51.14,364984.45,50491.13,869981.88,50.66,651224.40,1285457.46
Charaideo,57571.31,43026.85,3464.67,63.41,67.30,3743.16,90787.89,63935.27,92.56,67.22,104062.83,154815.72
Chirang,86975.69,34864.06,4244.94,66.21,72.41,129.58,131362.09,48151.32,3276.00,68.98,126084.69,182789.41
Darrang,74718.25,209722.84,20630.93,74.82,97.77,40.51,99866.66,214503.85,50928.00,83.51,305072.02,365298.51
Dhemaji,98336.57,128798.62,5526.13,93.09,103.77,124.47,105631.32,124120.77,4439.88,99.35,232661.32,234191.97
Dhubri,90926.09,203476.06,2820.40,67.42,73.05,40.04,134868.88,278526.54,7044.75,70.69,297222.55,420440.17
Dibrugarh,275574.39,185025.36,471616.51,65.77,40.11,77.28,419002.89,461256.64,610231.70,62.54,932216.26,1490491.23
Dima Hasao,21919.34,54175.49,820.97,46.78,49.06,1022.51,46856.83,110430.46,80.29,48.88,76915.80,157367.58
Goalpara,89868.42,150914.91,3565.68,64.12,73.92,2606.68,140166.15,204163.39,136.79,70.94,244349.01,344466.33
Golaghat,225638.05,262311.23,13687.77,110.48,85.11,154.91,204240.86,308219.29,8836.03,96.23,501637.05,521296.18
Hailakandi,27281.10,78420.80,2705.34,41.71,44.95,76.05,65409.77,174444.78,3557.49,44.54,108407.24,243412.04
Hojai,48346.44,169345.33,5189.18,68.75,50.03,2537.74,70320.31,338501.87,204.48,54.49,222880.95,409026.66
Jorhat,129715.40,83573.49,486775.01,75.03,64.21,73.67,172877.53,130158.31,660737.79,72.64,700063.90,963773.63
Kamrup,429494.24,158955.45,66585.04,63.32,74.09,543.71,678259.84,214556.24,12246.46,72.37,655034.73,905062.54
Kamrup Metro,220541.17,17738.51,5464241.78,59.36,33.92,63.96,371562.40,52294.96,8543258.80,63.59,5702521.46,8967116.16
Karbi Anglong,96508.78,124772.45,3075.88,107.00,72.47,74.12,90197.16,172165.29,4149.64,84.18,224357.11,266512.09
Karimganj,86217.39,133951.16,5797.42,41.36,38.35,197.20,208436.24,349257.04,2939.92,40.31,225965.97,560633.20
Kokrajhar,127102.39,135479.04,6524.55,76.21,56.51,78.97,166777.16,239737.47,8261.73,64.88,269105.98,414776.36
Lakhimpur,165184.98,247576.01,5750.21,96.95,107.11,92.84,170376.22,231138.18,6193.65,102.65,418511.20,407708.05
Majuli,43094.50,70.63,8489.29,106.46,71.30,59.84,40478.31,99.06,14187.35,94.32,51654.42,54764.72
Nagaon,210736.84,76502.23,411312.96,90.04,81.65,87.31,234058.98,93700.30,471107.26,87.44,698552.03,798866.54
Nalbari,123896.15,175534.72,15199.78,66.57,74.20,77.89,186125.07,236562.45,19514.04,71.15,314630.65,442201.56
Sivasagar,133858.66,291573.51,8216.19,64.94,70.53,135.74,206125.24,413429.98,6053.05,69.32,433648.36,625608.27
Sonitpur,146744.88,435232.75,13886.71,83.88,74.75,96.59,174938.80,582273.70,14377.70,77.23,595864.34,771590.20
Tamulpur,54054.49,5658.11,2940.19,92.71,44.63,70.73,58308.04,12676.74,4157.10,83.38,62652.79,75141.88
Tinsukia,100889.49,154775.98,376785.31,54.18,46.88,76.79,186203.19,330159.68,490672.37,62.80,632450.78,1007035.24
Udalguri,89756.26,89570.81,2701.97,89.69,73.10,75.48,100073.96,122524.75,3579.73,80.48,182029.04,226178.44
