district,atm_rural,atm_semi_urban,atm_urban,bc_fixed,bc_other,bc_total,branch_rural,branch_semi_urban,branch_urban,total_atm,total_branch
Bajali,6,33,0,199,33,232,19,15,0,39,34
Baksa,25,2,0,412,13,429,33,0,0,27,33
Barpeta,16,120,0,2058,105,2163,46,50,0,136,96
Biswanath,29,57,1,595,124,719,36,27,1,87,64
Bongaigaon,6,116,1,723,92,815,28,39,1,123,68
Cachar,48,6,176,1611,1038,2649,99,9,68,230,176
Charaideo,11,31,0,395,40,435,25,11,0,42,36
Chirang,9,24,0,356,17,373,23,14,0,33,37
Darrang,13,81,0,1531,104,1635,38,31,1,94,70
Dhemaji,13,45,1,1357,51,1408,25,26,1,59,52
Dhubri,7,85,0,2344,141,2485,42,48,1,92,91
Dibrugarh,61,75,150,1204,666,1870,92,41,55,286,188
Dima Hasao,6,22,0,110,19,129,12,22,0,28,34
Goalpara,16,52,0,1650,70,1720,45,28,0,68,73
Golaghat,43,102,1,1393,63,1456,74,51,1,146,126
Hailakandi,4,54,0,896,46,942,20,26,1,58,47
Hojai,11,74,2,585,116,701,23,43,1,87,67
Jorhat,22,25,161,711,773,1484,55,27,61,208,143
Kamrup,86,78,1,1779,148,1927,141,44,1,165,186
Kamrup Metro,47,9,860,756,13486,14242,46,5,438,916,489
Karbi Anglong,6,36,0,673,44,717,37,26,1,42,64
Karimganj,20,68,0,1162,125,1287,58,37,2,88,97
Kokrajhar,29,55,0,983,65,1048,34,25,1,84,60
Lakhimpur,19,90,1,1465,69,1534,51,40,1,110,92
Majuli,14,0,1,223,5,228,16,0,1,15,17
Nagaon,25,16,150,3389,1619,5008,91,26,39,191,156
Nalbari,25,84,1,1031,58,1089,58,27,1,110,86
Sivasagar,27,115,2,673,790,1463,58,47,1,144,106
Sonitpur,28,176,1,1177,1152,2329,59,75,1,205,135
Tamulpur,20,0,0,356,15,371,24,0,0,20,24
Tinsukia,30,44,147,1316,1007,2323,62,45,46,221,153
Udalguri,17,31,1,960,55,1015,35,20,1,49,56
