district,period,credit_deposit_ratio__total_deposit,credit_deposit_ratio__total_advance,credit_deposit_ratio__cd_ratio,branch_network__total_branch
Central,December 2022,19894300.0,18907100.0,95.04,420.0
East,December 2022,7267200.0,2339200.0,32.19,255.0
New Delhi,December 2022,41621900.0,98090100.0,235.67,387.0
North,December 2022,5416500.0,2246600.0,41.48,268.0
North East,December 2022,1081000.0,794200.0,73.47,66.0
North West,December 2022,8052000.0,3328400.0,41.34,393.0
Shahdara,December 2022,3810700.0,1275200.0,33.46,146.0
South,December 2022,18622900.0,5509300.0,29.58,419.0
South East,December 2022,12064000.0,9267000.0,76.82,334.0
South West,December 2022,9693200.0,3245000.0,33.48,374.0
West,December 2022,11431700.0,3980100.0,34.82,524.0
Central,March 2023,21302300.0,19262100.0,90.42,423.0
East,March 2023,7232900.0,2518900.0,34.83,249.0
New Delhi,March 2023,44474200.0,98574400.0,221.64,392.0
North,March 2023,5836800.0,2441800.0,41.83,264.0
North East,March 2023,1173800.0,822300.0,70.05,65.0
North West,March 2023,8227300.0,3538000.0,43.0,387.0
Shahdara,March 2023,6408700.0,2861200.0,44.65,152.0
South,March 2023,16367700.0,3862400.0,23.6,412.0
South East,March 2023,12107300.0,10453700.0,86.34,339.0
South West,March 2023,10019500.0,3282900.0,32.77,380.0
West,March 2023,11764000.0,4220800.0,35.88,530.0
Central,June 2023,21531127.89,19369015.53,89.96,428.0
East,June 2023,7372668.34,2583783.93,35.05,250.0
New Delhi,June 2023,45696092.11,103136613.6,225.7,388.0
North,June 2023,5966130.52,2503899.05,41.97,268.0
North East,June 2023,1215370.49,826909.4,68.04,65.0
North West,June 2023,8380947.62,3626838.93,43.27,387.0
Shahdara,June 2023,3992088.55,1377586.03,34.51,157.0
South,June 2023,19565447.34,5981527.0,30.57,419.0
South East,June 2023,12717117.51,10524851.7,82.76,341.0
South West,June 2023,10570278.36,3389076.09,32.06,381.0
West,June 2023,11783779.71,4297313.18,36.47,528.0
Central,September 2023,17880200.0,17413300.0,86.34,428.0
East,September 2023,2398600.0,2191100.0,36.83,258.0
New Delhi,September 2023,98204700.0,53950700.0,215.87,389.0
North,September 2023,2170000.0,1878300.0,44.55,270.0
North East,September 2023,781400.0,496400.0,67.58,65.0
North West,September 2023,3275400.0,3931700.0,45.86,391.0
Shahdara,September 2023,1331100.0,1406600.0,38.3,156.0
South,September 2023,5279600.0,3829100.0,30.01,420.0
South East,September 2023,9030900.0,4932900.0,82.48,344.0
South West,September 2023,3082200.0,2554500.0,33.09,382.0
West,September 2023,3896400.0,3900100.0,38.24,533.0
Central,December 2023,23343500.0,20037400.0,85.84,433.0
East,December 2023,7649400.0,2877800.0,37.62,257.0
New Delhi,December 2023,48107000.0,104986700.0,218.24,387.0
North,December 2023,6213300.0,2927600.0,47.12,277.0
North East,December 2023,1230900.0,836800.0,67.98,68.0
North West,December 2023,8854200.0,4193600.0,47.36,403.0
Shahdara,December 2023,4078600.0,1506100.0,36.93,162.0
South,December 2023,19672300.0,6659100.0,33.85,424.0
South East,December 2023,13843400.0,11038000.0,79.73,351.0
South West,December 2023,10734600.0,3433000.0,31.98,384.0
West,December 2023,12641100.0,4953700.0,39.19,550.0
Central,March 2024,23729100.0,21390300.0,90.14,434.0
East,March 2024,7754800.0,3175600.0,40.95,264.0
New Delhi,March 2024,52718400.0,107550200.0,204.01,391.0
North,March 2024,6293900.0,2981800.0,47.38,271.0
North East,March 2024,1289100.0,860100.0,66.72,71.0
North West,March 2024,9203900.0,4346800.0,47.23,385.0
Shahdara,March 2024,4284700.0,1569700.0,36.63,176.0
South,March 2024,20389000.0,6588200.0,32.31,430.0
South East,March 2024,13957600.0,10697300.0,76.64,352.0
South West,March 2024,12901600.0,3491200.0,27.06,390.0
