District,Deposit Amount (D),Advance Amount (A),Current C:D Ratio
Baksa,86946.69,42633.04,49.03
Barpeta,361684.33,244337.8,67.56
Bongaigaon,260698.75,136086.8,52.2
Cachar,767543.98,316405.53,41.22
Darrang,183919.21,118047.75,64.18
Dhemaji,121422.99,78781.92,64.88
Dhubri,268330.82,152063.51,56.67
Dibrugarh,884899.79,412883.55,46.66
Goalpara,181558.07,88558.19,48.78
Golaghat,299275.31,212314.35,70.94
Hailakandi,140552.66,53038.27,37.74
Jorhat,588011.42,332443.62,56.54
Kamrup Metro,685588.32,474934.81,69.27
Karbi Anglong,210981.45,81291.16,38.53
Karimganj,323567.16,111111.35,34.34
Kokrajhar,258648.32,72358.29,27.98
Lakhimpur,241705.27,179847.79,74.41
Sonitpur,496102.59,299619.85,60.39
Tinsukia,586565.51,300156.76,51.17
Udalguri,111087.84,76117.56,68.52
Morigaon,163908.42,128995.5,78.7
Nagaon,506801.25,335599.81,66.22
Sivasagar,424281.28,229051.25,53.99
Nalbari,236397.44,137681.06,58.24
Chirang,110152.36,47450.13,43.08
Dima Hasao,84466.24,23009.67,27.24
Hojai,191910.96,73627.79,38.37
Charaideo,72897.32,36423.97,49.97
West Karbi Anglong,37817.24,26102.69,69.02
South Salmara,20524.86,7516.04,36.62
Biswanath,117052.18,68391.38,58.43
Majuli,28846.19,14999.29,52
