district,PMJDY No,PMJDY Cumml No,PMJJBY No,PMJJBY Cumml No,PMSBY No.,PMSBY Cumml No.,APY No,APY Cumml No
Baksa,35829,224857,3410,8118,6417,16457,1372,3839
Barpeta,117608,989652,8344,43578,22895,116498,2327,12883
Biswanath,24466,207754,3306,11664,6608,28351,2050,8285
Bongaigaon,26217,271460,1735,25344,4904,93395,1072,5397
Cachar,51452,773713,4748,70146,11498,110937,2492,13931
Charaideo,15355,150171,619,7814,673,10614,399,3060
Chirang,18591,120053,1528,5618,6247,13282,622,2135
Darrang,65519,634425,8664,37607,13875,83910,1773,7086
Dhemaji,63923,547047,3017,28865,5610,60074,1185,7165
Dhubri,123495,1065604,3434,36244,19248,101674,2192,7445
Dibrugarh,34086,515124,17380,75384,25312,135847,3849,18417
Dima Hasao,2558,113534,600,19030,1795,52265,234,5012
Goalpara,43464,464125,2712,39505,6462,67084,1227,5744
Golaghat,50187,604899,3653,60479,7490,83551,2567,12404
Hailakandi,38210,372691,2982,39716,4737,61098,1163,6578
Hojai,28763,268466,1152,18044,3387,17297,946,4258
Jorhat,36077,388663,4786,53515,10044,107761,1743,13329
Kamrup Metro,65300,767020,9890,93628,14823,198166,4380,23897
Karbi Anglong,4404,228881,1605,51896,2239,125089,674,23077
Karimganj,43100,563875,1291,43900,3055,64745,1420,7292
Kokrajhar,38632,425492,2217,25000,5076,57152,708,3633
Lakhimpur,53394,602448,3275,31446,7553,83468,1495,10670
Majuli,14165,83114,203,5471,444,4278,66,973
Morigaon,56728,583469,2105,54984,3670,68544,1386,8628
Nagaon,155281,1440516,9086,63132,12388,121619,2783,17785
Nalbari,45665,438344,6634,34997,12563,87863,1984,8724
Sivasagar,25503,362115,5138,57010,8357,94533,1466,11360
Sonitpur,34782,549346,8501,46099,14117,101424,2256,12220
South Salmara,12674,66137,89,1337,176,2958,43,350
Tinsukia,123463,615792,5197,52037,6713,185321,1699,12674
Udalguri,36971,244960,3188,7253,5304,13981,387,2021
West Karbi Anglong,8,641,17,82,14,220,3,30
