district,Crop Loan Achievement,Insurance Number (PMFBY),Insurance Amount (PMFBY),Insurance Number (Others),Insurance Amount (Others)
Baksa,1266.17,272,8.23,237,1.09
Barpeta,6503.26,1417,34.64,1289,6.37
Biswanath,1561.21,25,11.37,0,0
Bongaigaon,1020.6,427,9190.87,377,1.61
Cachar,4864.37,1087,30304.01,537,2
Charaideo,550.61,14,9.33,0,0
Chirang,722.85,4,1.23,0,0
Darrang,4585.76,687,1022.65,400,2.53
Dhemaji,1935.9,230,27.75,0,0
Dhubri,3141.68,403,22.66,301,0.84
Dibrugarh,9626.79,1392,54.79,1153,5.53
Dima Hasao,66.75,0,0,0,0
Goalpara,1499.41,424,1964.54,285,1.28
Golaghat,9967.6,856,47.43,758,3.4
Hailakandi,1417.46,48,17.78,0,0
Hojai,1677.41,267,2.74,0,0
Jorhat,5974.93,1378,43.75,1293,5.59
Kamrup Metro,12924.27,3553,55.89,3374,18.59
Karbi Anglong,1237.36,193,0.17,0,0
Karimganj,1520.46,487,5.41,370,1.25
Kokrajhar,356.74,36,1.62,0,0
Lakhimpur,5215.52,1561,127.57,6,0.02
Majuli,250.85,2,0.48,0,0
Morigaon,2314.78,310,10332.32,260,1.55
Nagaon,17610.97,8277,2345.08,7719,37.09
Nalbari,4713.03,2143,50.61,1808,7.12
Sivasagar,3814.99,872,30.72,790,3.28
Sonitpur,4585.88,2528,100.56,2320,12.12
South Salmara,83.67,6,0.62,0,0
Tinsukia,8410.06,2895,27.17,2470,12.64
Udalguri,5997.28,206,12.31,0,0
West Karbi Anglong,1304.46,32,0.03,0,0
