district,Target,Disbursement No,Disbursement Amount,O/S No,O/S Amount
Baksa,660,124,136.34,478,384.84
Barpeta,953,435,620.96,1911,1467.74
Biswanath,1251,312,377.22,1829,1301.16
Bongaigaon,903,324,427.54,912,763.39
Cachar,854,186,184.93,1148,511.81
Charaideo,846,317,259.77,903,440.91
Chirang,1543,350,465.49,1016,767.14
Darrang,917,253,173.26,1384,794.79
Dhemaji,1870,509,366.67,2265,960.98
Dhubri,655,65,68.04,711,317.28
Dibrugarh,1438,417,438.3,1267,685.83
Dima Hasao,406,6,7,40,31.92
Goalpara,917,320,395.56,1483,1014.62
Golaghat,1333,678,888.36,1531,1144.67
Hailakandi,703,109,104.51,829,387.64
Hojai,735,285,332.81,1545,757.67
Jorhat,1734,714,925.88,1963,1454.54
Kamrup,1316,358,435,1571,1278.35
Kamrup Metro,858,269,378.48,919,770.04
Karbi Anglong,1049,204,61.59,433,356.2
Karimganj,595,96,66.47,1013,412.39
Kokrajhar,1218,144,144.18,422,296.02
Lakhimpur,872,378,404.88,3016,49879.69
Majuli,678,130,112.81,494,291.2
Morigaon,915,253,275.19,2962,1624.54
Nagaon,2855,1177,1476.7,3233,2087.86
Nalbari,1386,566,704.77,1998,1951.34
Sivasagar,758,213,233.12,1347,804.39
Sonitpur,1672,446,503.1,2049,1370.24
South Salmara,302,14,19.08,19,18.58
Tinsukia,1590,559,703.82,2104,1175.1
Udalguri,1332,144,181.26,844,672.02
West Karbi Anglong,829,206,172.78,310,199.32
