District,Sr. No.,Proposed Target Of 2019-20
Baksa,1,44
Barpeta,2,45
Biswanath,3,40
Bongaigaon,4,42
Cachar,5,9
Charaideo,6,38
Chirang,7,42
Darrang,8,51
Dhemaji,9,45
Dhubri,10,50
Dibrugarh,11,42
Dima Hasao,12,9
Goalpara,13,42
Golaghat,14,44
Hailakandi,15,9
Hojai,16,48
Jorhat,17,48
Kamrup Metro,18,40
Kamrup Rural,19,74
Karbi Anglong,20,9
Karimganj,21,9
Kokrajhar,22,50
Lakhimpur,23,41
Majuli,24,45
Morigaon,25,53
Nagaon,26,57
Nalbari,27,45
Sivasagar,29,45
Sonitpur,30,47
South Salmara,28,47
Tinsukia,31,45
Udalguri,32,47
West Karbi Anglong,33,9
