District,No. of A/C,Total O/S,Demand Raised,Recovery Amt,%,Overdues Amt,Overdues Pct,Gross NPA Amt,Gross NPA Pct
Baksa,26310,14697.22,7164.13,2118.48,30,5045.65,70,3523.83,24
Barpeta,121923,65441.44,24089.44,7160.79,30,16928.65,70,8853.93,14
Biswanath,24682,15908.9,7792.28,3324.92,43,4467.36,57,3158.67,20
Bongaigaon,33277,22992.68,4014.5,1575.01,39,2439.49,61,2468.8,11
Cachar,99572,63571.78,13959.62,5290.58,38,8669.04,62,5365.7,8
Charaideo,22684,11838.05,2435.1,1372.49,56,1062.61,44,1665.14,14
Chirang,20239,11073.69,4201.73,1373.22,33,2828.51,67,1710.34,15
Darrang,57378,33944.78,12207.86,5022.78,41,7185.08,59,5958.31,18
Dhemaji,41394,22573.67,10039.51,3724.18,37,6315.33,63,3407.94,15
Dhubri,87239,52720,10437.05,3055.96,29,7381.09,71,4339.71,8
Dibrugarh,140567,83506,25234.01,10024.76,40,15209.25,60,6853.44,8
Dima Hasao,4781,1711.21,310.33,283.95,91,26.38,9,184.04,11
Goalpara,32178,20770.92,10456.93,3677.21,35,6779.72,65,4532.67,22
Golaghat,158440,78307.09,23850.82,7780.42,33,16070.4,67,4449.56,6
Hailakandi,29131,14267.31,5207.77,2558.94,49,2648.83,51,2458.13,17
Hojai,31410,19015.53,6508.9,1945.89,30,4563.01,70,2134.89,11
Jorhat,149058,79456.22,18816.64,6259.43,33,12557.21,67,4484.53,6
Kamrup Metro,128250,93068.72,29807.99,6584.51,22,23223.48,78,7860.18,8
Karbi Anglong,32885,14759.74,2597.05,599.42,23,1997.63,77,1265.82,9
Karimganj,54732,27943.99,5635.94,3347.51,59,2288.43,41,3097.13,11
Kokrajhar,23274,12037.31,6114.58,2473.61,40,3640.97,60,2913.75,24
Lakhimpur,94615,52021.93,17304.37,5813.68,34,11490.69,66,5048.48,10
Majuli,6751,3695.72,1154.09,313.33,27,840.76,73,471.8,13
Morigaon,107115,57922.01,10739.05,3149.92,29,7589.13,71,4560.42,8
Nagaon,202284,103658.63,28526.54,7187.41,25,21339.13,75,7821.28,8
Nalbari,60790,30650.49,11299.15,3582.71,32,7716.44,68,4611.57,15
Sivasagar,93254,47004.76,11084.22,3729.59,34,7354.63,66,4047.68,9
Sonitpur,131115,69564.55,16465.2,6432.54,39,10032.66,61,7112.44,10
South Salmara,1137,727.62,639.81,166.15,26,473.66,74,357.21,49
Tinsukia,93199,68477.84,17788.73,7899.27,44,9889.46,56,4224.63,6
Udalguri,43643,30747.24,16875.44,3685.48,22,13189.96,78,6798.03,22
West Karbi Anglong,15714,6785.08,2881.55,291.05,10,2590.5,90,567.14,8
