district,Crop Production,Water Resources,Farm,Plantation,Animal Husbandry,Agri Others,Agri Infrastructure,Anciliary Activities,Agri Total,MSME Term,MSME Working,MSME Total,Export Credit,Education,Housing,Renewable Energy,Social Infra,Other Priority Sector Total,Districtwise Total ACP Acheivement
Baksa,3006.36,20.97,155.29,56.55,694.42,1243.97,50.93,115.22,5343.71,1391.39,3660.77,5052.16,0,59.33,2008.33,41.93,0.19,2109.78,12505.65
Barpeta,10740.95,532.51,544.26,104.98,10085.65,14260.62,10,583.15,36862.12,33428.75,7067.97,40496.72,0,325.75,7679.16,559.88,8.76,8573.55,85932.39
Biswanath,3701.08,6.8,47.6,182.57,386.44,1006.54,3,336.53,5670.56,507.81,3408.09,3915.9,0,53.31,2973.03,23.63,246.4,3296.37,12882.830000000002
Bongaigaon,2545.06,243.88,152.39,23.55,2253.65,4159.53,15,545.36,9938.42,23640.29,3820.92,27461.21,0,158.53,4237.13,125.03,872.81,5393.5,42793.13
Cachar,8376.23,493.59,1056.61,114.32,5919.43,11249.28,7.31,3233.63,30450.4,63037.76,7349.08,70386.84,0,710.77,3565.51,100.35,2.76,4379.39,105216.62999999999
Charaideo,706.16,198.06,651.4,155.15,1293.45,4486.99,0,364.57,7855.78,4099.2,468.19,4567.39,0,10.78,360.19,43.32,742.49,1156.78,13579.95
Chirang,1691.71,556.75,307.64,11.13,1177.78,1662.69,6.02,413.02,5826.74,7435.32,1994.59,9429.91,0.42,85.02,1191.7,32.63,1.2,1310.97,16567.62
Darrang,7797.63,193.28,514.43,94.81,3230.61,5674.32,9.7,1352.04,18866.82,16658.89,4423.64,21082.53,0,320.3,2918.22,61.73,366.71,3666.96,43616.31
Dhemaji,2702.87,20.05,60.28,106.86,1838.35,2028.28,0,444.59,7201.28,7134.17,5771.62,12905.79,0,85.85,4260.72,82.55,0,4429.12,24536.19
Dhubri,4678.28,2074.34,1690.3,71.42,4805.39,19210.59,0,1045.34,33575.66,35340.71,3267.87,38608.58,0.42,180.96,3051.8,1120.8,0.28,4354.26,76538.5
Dibrugarh,14600.76,280.92,1568.86,652.15,6774.19,20294.23,16.27,5600.41,49787.79,32970.61,18021.7,50992.31,0,878.63,6827.51,304.92,1797.17,9808.23,110588.33
Dima Hasao,298.97,0,0,5.75,397.85,116.92,0,36.22,855.71,516.34,221.17,737.51,0,18.82,1702.09,0,444.43,2165.34,3758.5600000000004
