District,Urban Number,Urban Amt,Semi-Urban Number,Semi-Urban Amt,Rural Number,Rural Amt,Total Number,Total Amt
Baksa,0,0,42,0,708,3837.21,750,3837.21
Barpeta,0,0,1120,3274.37,594,4456.76,1714,7731.13
Biswanath,0,0,295,1983.62,295,1853.29,590,3836.91
Bongaigaon,5,72.06,893,2655.19,122,915.24,1020,3642.49
Cachar,1185,8407.17,167,179.31,463,4107.79,1815,12694.27
Charaideo,0,0,72,150.67,83,554.19,155,704.86
Chirang,0,0,36,109.81,160,1384.64,196,1494.45
Darrang,12,156.24,451,1828.29,338,1867.28,801,3851.81
Dhemaji,0,0,455,2734.1,291,2298.58,746,5032.68
Dhubri,0,0,537,1834.68,262,1946.72,799,3781.4
Dibrugarh,1585,15902.56,494,1014.72,687,7426.26,2766,24343.54
Dima Hasao,0,0,524,2219.43,501,1925.01,1025,4144.44
Goalpara,0,0,248,1258.61,207,1304.4,455,2563.01
Golaghat,3,16.86,691,2777.23,490,4362.02,1184,7156.11
Hailakandi,2,17.8,648,1550.68,41,273.36,691,1841.84
Hojai,1,7.91,335,1347.85,99,794.63,435,2150.39
Jorhat,617,4833.77,1167,5539.5,618,5749.9,2402,16123.17
Kamrup Metro,1095,526.74,706,1058.19,2458,28991.55,4259,30576.48
Karbi Anglong,0,0,965,5190.13,1553,10063.09,2518,15253.22
Karimganj,0,0,392,696.97,183,1296.65,575,1993.62
Kokrajhar,0,0,322,930.58,102,908.92,424,1839.5
Lakhimpur,0,0,897,3657.85,787,6444.04,1684,10101.89
Majuli,0,0,165,0,56,475.66,221,475.66
Morigaon,0,0,768,1283.66,469,3559.17,1237,4842.83
Nagaon,1058,9820.5,555,502.1,860,7073.08,2473,17395.68
Nalbari,3,13.5,1072,4072.52,997,4799.71,2072,8885.73
Sivasagar,14,30.67,664,1517.31,412,3301.11,1090,4849.09
Sonitpur,24,285.36,1427,3578.45,636,4284.73,2087,8148.54
South Salmara,0,0,42,517.13,53,359.24,95,876.37
Tinsukia,1018,11264.18,337,622.11,410,4029.52,1765,15915.81
Udalguri,0,0,265,2411.12,161,992.51,426,3403.63
West Karbi Anglong,0,0,91,622.76,610,3788.4,701,4411.16
