District,Current Year Number of Cards issued,Current Year Limit Sanctioned,O/S Position Number of Cards issued,O/S Position Limit Sanctioned
Baksa,3114,1406.74,18499,8282.52
Barpeta,14922,6208.68,61130,26753.16
Biswanath,3960,2433.04,17914,9859.26
Bongaigaon,2790,1187.76,17158,7458.05
Cachar,11659,7590.71,53234,28618.39
Charaideo,1066,679.31,9429,5103.1
Chirang,1392,776.85,12094,5903.15
Darrang,12018,5679.68,34892,15499.58
Dhemaji,3279,1947.75,24402,13024.71
Dhubri,6471,3829.22,35199,17852.65
Dibrugarh,29250,14067.61,72577,34930.19
Dima Hasao,509,154.14,2146,665.49
Goalpara,1724,922.54,24235,9866.11
Golaghat,29281,12049.89,70500,30356.12
Hailakandi,2030,1115.64,18230,8750.08
Hojai,3824,2238.55,22053,12838.64
Jorhat,16905,7264.97,49392,21702.75
Kamrup Metro,14948,7382.84,85330,40589.79
Karbi Anglong,8503,3898.22,27967,10734.24
Karimganj,6170,2416.84,28260,12770.49
Kokrajhar,2477,1223.28,21227,8935.81
Lakhimpur,16662,8751.12,63167,29879.04
Majuli,525,232.97,3415,1418.69
Morigaon,6537,3138.81,40694,19743.2
Nagaon,30832,12118.15,88225,39686.44
Nalbari,8142,2823.48,35128,12809.71
Sivasagar,17035,6274.06,41845,16264.38
Sonitpur,9932,5244.58,38431,18309.48
South Salmara,192,85.31,910,339.04
Tinsukia,20673,9782.94,53803,30116.02
Udalguri,4917,4291.62,31115,17447.11
West Karbi Anglong,4364,1710.43,13713,5320.4
