District,No. of A/C,Total O/S,Demand Raised,Recovery Amt,%,Overdues Amt,Overdues Pct,Gross NPA Amt,Gross NPA Pct
Baksa,51342,30726.61,12839.54,4372.12,34,8467.42,66,8309.88,27
Barpeta,218807,156844.71,39013.13,13273.98,34,25739.15,66,19062.43,12
Biswanath,35068,38283.46,11973.68,5625.13,47,6348.55,53,5743.9,15
Bongaigaon,83743,79758.09,9544.14,4662.39,49,4881.75,51,6037.77,8
Cachar,217353,210815.44,28872.99,14742.51,51,14130.48,49,14180.4,7
Charaideo,37901,25113.68,4556.25,2554.68,56,2001.57,44,3464.52,14
Chirang,33701,28842.94,7260.75,2584.67,36,4676.08,64,4030.13,14
Darrang,110355,79595.81,20545.07,9707.86,47,10837.21,53,11803.42,15
Dhemaji,82674,57034.35,15481.41,7109.77,46,8371.64,54,6234.02,11
Dhubri,174588,115335.62,18659.1,6489.26,35,12169.84,65,10460.41,9
Dibrugarh,250031,261459.51,44226.24,22279.19,50,21947.05,50,16757.92,6
Dima Hasao,7913,10716.36,607.61,481.08,79,126.53,21,435.39,4
Goalpara,75622,51740.28,17529.4,6202.25,35,11327.15,65,10055.15,19
Golaghat,233310,156940.49,33204.05,13694.53,41,19509.52,59,9739.04,6
Hailakandi,48329,38226.41,8834.49,4981.31,56,3853.18,44,4524.91,12
Hojai,39295,46647.99,9828.88,3911.74,40,5917.14,60,4505.88,10
Jorhat,245820,219387.57,32420.83,14680.16,45,17740.67,55,11605.99,5
Kamrup Metro,308002,271850.42,52735.33,21068.13,40,31667.2,60,18735.71,7
Karbi Anglong,41676,42354.49,3283.57,1090.69,33,2192.88,67,1976.06,5
Karimganj,113904,82226.42,11760.09,7414.47,63,4345.62,37,6619.68,8
Kokrajhar,32116,30350.85,11149.96,4701.62,42,6448.34,58,6611.08,22
Lakhimpur,137736,114140.71,26331.43,10689,41,15642.43,59,10638.49,9
Majuli,9881,9109.72,2062.54,784.09,38,1278.45,62,1210.22,13
Morigaon,144178,95339.17,17011.26,5600.93,33,11410.33,67,9585.52,10
Nagaon,309588,229063.06,44251.91,15048.86,34,29203.05,66,20896.35,9
Nalbari,107595,79500.4,24177.55,9539.11,39,14638.44,61,13295,17
Sivasagar,140799,136237.61,21110.08,9782.39,46,11327.69,54,10072.73,7
Sonitpur,226309,187455.13,29019.4,12598.85,43,16420.55,57,15366.17,8
South Salmara,2690,3890.54,1701.56,517.35,30,1184.21,70,1386.53,36
Tinsukia,157326,202069.76,27695.66,14083,51,13612.66,49,11513.81,6
Udalguri,53302,52988.35,21919.89,5999.77,27,15920.12,73,10888.64,21
West Karbi Anglong,18562,13663.01,3041.08,434.94,14,2606.14,86,667.1,5
