District,Lending Number of Muslim,Lending Amount of Muslim,Outstanding Number of Muslim,Outstanding Amount of Muslim,Lending Number of Christian,Lending Amount of Chriatian,Outstanding Number of Christian,Outstanding Amount of Christian,Lending Number of Sikh,Lending Amount of Sikh,Outstanding Number of Sikh,Outstanding Amount of Sikh,Lending Number of Budhist,Lending Amount of Budhist,Outstanding Number of Budhist,Outstanding Amount of Budhist,Lending Number of Zoroastrian,Lending Amount of Zoroastrian,Outstanding Number of Zoroastrian,Outstanding Amount of Zoroastrian,Lending Number of Jain,Lending Amount of Jain,Outstanding Number of Jain,Outstanding Amount of Jain,Total Lending No.,Total Lending Amt,Total Outstanding No.,Total Outstanding Amt
Baksa,742,888.86,9085,4822.76,12,23.56,315,160.73,2,0.65,27,30.65,0,0,5,4.5,0,0,0,0,0,0,17,14.87,756,913.07,9449,5033.51
Barpeta,41624,39179.22,98718,64503.23,61,106.13,254,263.73,4,10.01,44,56.38,4,2.4,22,10.8,1,0.7,18,45.19,2,3.17,13,21.65,41696,39301.63,99069,64900.98
Biswanath,934,1100.54,4332,3887.18,417,1320.35,3365,6289.05,4,13.06,23,50.06,0,0,0,0,0,0,11,21.42,1,0.3,1,0.3,1356,2434.25,7732,10248.01
Bongaigaon,16818,14972.81,28719,15892.64,1276,708.56,1772,836.29,5,9.54,52,76.92,57,49.29,70,48.71,2,6,8,24.06,4,21.16,14,178.47,18162,15767.36,30635,17057.09
Cachar,37395,34197.78,82091,53624.31,1300,1531.18,2075,1694.71,10,89.61,41,115.37,10,14.28,32,35.14,1,0.8,11,26.98,16,224.62,26,237.81,38732,36058.27,84276,55734.32
Charaideo,1225,2278.69,4006,4954.23,168,197.25,280,424.01,5,17.82,26,65.07,13,60.64,46,112.14,0,0,10,27.19,1,0.3,1,0.27,1412,2554.7,4369,5582.91
Chirang,5725,10812.21,21037,26123.06,134,138.3,2318,1536.39,13,67.06,34,124.47,4,16.29,9,20.29,0,0,7,11,0,0,0,0,5876,11033.86,23405,27815.21
Darrang,24760,21234.36,53370,41808.49,130,451.34,564,1180.37,3,12.25,62,76.06,15,13.95,24,17.36,6,11.8,12,31.74,14,54.14,21,127.16,24928,21777.84,54053,43241.18
Dhemaji,409,380.78,2581,2403.52,65,49.87,347,304.98,7,10.9,102,558.12,1,0,108,201.82,0,0,12,37.68,2,15.5,519,1522.13,484,457.05,3669,5028.25
Dhubri,53293,39494.52,89058,48970.62,513,372.63,1144,1016.97,5,34.05,17,57.42,18,14.08,23,14,6,12.9,24,62.48,5,8.9,8,11.87,53840,39937.08,90274,50133.36
