district,banks,density,bcs,branches,atms
East Garo Hills,2.5,150,3.2,45,1.8
East Jaintia Hills,3.1,180,4.5,52,2.3
East Khasi Hills,5.2,320,6.8,145,4.5
North Garo Hills,1.8,120,2.1,28,1.2
Ri Bhoi,2.9,200,3.8,38,2.0
South Garo Hills,2.2,140,2.9,35,1.5
South West Garo Hills,1.5,95,1.8,22,0.9
West Garo Hills,3.5,210,4.2,68,2.8
West Jaintia Hills,2.7,160,3.5,41,1.9
South West Khasi Hills,2.0,130,2.5,30,1.3
EW Khasi Hills,2.3,145,2.8,33,1.6
West Khasi Hills,4.1,280,5.5,89,3.7
