District,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,crop,agri_term,sub_total,agri_infra,ancillary_activities,total_agriculture,msme,col_21,col_22,export_credit,education,housing,social_infrastructure,renewable_energy,others,total_priority_secotr
Adilabad,33.0,0.0,0.0,1283.74,5.92,13.9,374.0,40.3,49.1,397.09,0.2,0.89,168.0,0.0,0.0,80.66,41.83,0.0,2163.19,304.73,2467.92,185.81,328.1,2981.83,639.49,2851.64,75.5,0.0,42.59,82.07,22.49,8.34,0.0,3776.81
Bhadradri Kothagudem,31.0,0.0,0.0,488.02,7.57,3.89,1105.0,14.56,2.99,224.32,0.0,0.0,370.0,0.4,1.73,63.03,48.43,0.0,2477.31,809.65,3286.96,121.63,682.78,4091.37,423.62,1995.35,38.03,0.0,194.66,487.75,26.02,23.08,0.0,5246.5
Hanumakonda,135.0,0.0,0.0,2159.99,16.07,22.15,2539.0,39.55,10.99,645.03,0.8,0.72,6.0,0.1,12.05,64.03,31.06,0.0,1402.32,522.0,1924.32,185.51,186.22,2296.05,1254.76,3375.59,82.43,0.0,72.54,360.02,110.75,0.83,0.0,4094.95
Hyderabad,2267.0,158.8,0.0,51580.46,92.16,9.25,11412.0,883.7,39.03,9297.36,202.94,60.41,29.0,33.08,153.79,2244.06,342.63,65.48,0.0,0.0,0.0,0.0,0.0,0.0,21269.69,50155.92,197.38,0.0,996.02,2264.04,335.96,21.51,523.23,25410.45
Jagitial,89.0,0.0,0.0,397.95,10.17,35.24,608.0,36.13,44.57,330.42,0.13,0.65,178.0,8.71,132.37,96.98,57.11,0.0,2318.54,565.33,2883.87,88.35,544.7,3516.92,880.49,2319.62,51.16,0.0,28.86,81.06,20.14,6.58,0.0,4534.05
Jangoan,49.0,0.0,0.0,213.84,3.39,14.75,429.0,15.61,25.7,163.43,0.2,2.58,5.0,0.0,0.0,35.89,21.77,0.0,1459.74,695.54,2155.28,142.62,106.49,2404.39,290.04,1511.8,54.25,0.0,22.99,60.73,7.76,0.94,0.0,2786.85
Jayashankar Bhupalapally,4.0,0.0,0.0,56.93,2.72,23.03,333.0,2.67,7.71,42.32,0.0,0.0,32.0,0.67,90.54,29.96,20.16,0.0,973.86,446.58,1420.44,79.71,50.88,1551.03,119.64,680.55,39.48,0.0,11.81,34.65,5.98,0.74,0.0,1723.85
Jogulamba Gadwal,9.0,0.0,0.0,234.23,2.07,16.52,260.0,11.26,12.85,108.93,0.0,0.0,0.0,0.0,0.0,12.25,8.0,0.0,2404.3,457.21,2861.51,69.32,312.39,3243.22,416.1,1448.12,38.33,0.0,12.53,87.65,13.44,4.84,0.0,3777.78
Kamareddy,141.0,0.0,0.0,429.91,3.61,9.81,561.0,37.7,39.72,355.11,0.0,0.0,2.0,0.0,0.0,77.25,24.63,0.0,2757.06,690.43,3447.49,83.65,144.26,3675.4,520.01,2334.18,53.73,0.0,36.81,94.91,14.45,2.67,0.0,4344.25
Karimnagar,81.0,0.0,0.0,1996.43,16.98,63.12,1480.0,82.78,64.13,654.34,0.16,0.97,618.0,19.34,613.97,220.82,123.32,0.0,2192.76,578.48,2771.24,74.43,471.73,3317.4,992.15,4156.55,92.67,0.0,26.9,129.08,16.46,3.15,0.0,4485.14
