District,total_branch,deposits_rural,deposits_semi_urban,deposits_urban,total_deposit,advances_rural,advances_semi_urban,advances_urban,total_advance,cd_ratio
Adilabad,105.0,1238.88,462.58,1971.3,3672.76,2215.44,1035.36,5453.4,8704.2,236.99
Bhadradri Kothagudem,162.0,1042.41,5353.96,35.31,6431.68,1701.51,5365.06,281.53,7348.1,114.25
Hanumakonda,158.0,775.18,608.57,9837.4,11221.15,1350.69,1276.89,10264.93,12892.51,114.89
Hyderabad,1096.0,6.0,272.25,332268.19,332546.44,108.75,505.19,433389.27,434003.21,130.51
Jagitial,126.0,1371.11,1712.37,1531.22,4614.7,2231.43,1715.54,1625.75,5572.72,120.76
Jangoan,58.0,626.53,1067.64,0.0,1694.17,1642.79,1951.13,4.62,3598.54,212.41
Jayashankar Bhupalapally,43.0,457.47,894.37,0.0,1351.84,979.77,862.03,3.44,1845.24,136.5
Jogulamba Gadwal,56.0,381.56,1200.81,0.0,1582.37,1206.34,1882.84,33.44,3122.62,197.34
Kamareddy,130.0,1268.18,2223.43,0.0,3491.61,2534.52,3330.21,65.19,5929.92,169.83
Karimnagar,213.0,3675.43,1951.77,6151.62,11778.82,3613.54,1842.25,6835.93,12291.72,104.35
Khammam,243.0,1854.34,1742.52,5339.64,8936.5,3877.99,3119.48,8324.77,15322.24,171.46
Kumuram Bheem Asifabad,54.0,1074.54,631.99,10.62,1717.15,1225.58,340.2,45.44,1611.22,93.83
Mahabubabad,68.0,419.06,1388.52,0.06,1807.64,1184.47,2767.93,53.22,4005.62,221.59
Mahabubnagar,133.0,845.61,719.79,3451.42,5016.82,1822.89,1405.26,4753.04,7981.19,159.09
Mancherial,118.0,2200.83,4478.46,0.0,6679.29,1958.17,3581.55,446.95,5986.67,89.63
Medak,105.0,893.62,1447.31,0.0,2340.93,2324.75,2454.38,438.42,5217.55,222.88
Medchal Malkajgiri,600.0,3360.93,6299.87,77303.51,86964.31,1558.87,5874.77,46638.75,54072.39,62.18
Mulugu,34.0,694.91,261.07,0.0,955.98,959.4,403.65,16.94,1379.99,144.35
Nagarkurnool,85.0,1018.4,1319.21,0.0,2337.61,2101.01,2596.05,276.72,4973.78,212.77
Nalgonda,220.0,1863.04,1239.58,4904.98,8007.6,4764.12,2587.09,8053.96,15405.17,192.38
Narayanpet,52.0,470.25,793.4,0.0,1263.65,1149.19,1249.23,28.03,2426.45,192.02
Nirmal,90.0,1351.07,1434.85,30.15,2816.07,2251.19,2728.18,156.9,5136.27,182.39
Nizamabad,277.0,2672.79,1947.09,4166.92,8786.8,5230.35,3250.56,5974.33,14455.24,164.51
Peddapalli,108.0,1725.91,1930.87,2664.83,6321.61,1587.82,2134.6,1515.27,5237.69,82.85
Rajanna Sircilla,67.0,961.69,1797.92,687.29,3446.9,1403.32,1532.4,577.2,3512.92,101.92
Ranga Reddy,715.0,6217.46,4266.88,71549.25,82033.59,5626.85,5082.28,62233.04,72942.17,88.92
Sangareddy,235.0,5738.75,5493.36,4772.27,16004.38,3939.52,8848.99,4588.74,17377.25,108.58
Siddipet,137.0,1552.64,1884.27,1226.59,4663.5,2647.85,2172.44,1771.29,6591.58,141.34
Suryapet,155.0,1131.93,1588.58,1469.6,4190.11,2843.71,3682.13,3183.93,9709.77,231.73
Vikarabad,100.0,1044.7,1680.67,5.67,2731.04,1933.38,2312.38,128.13,4373.89,160.15
Wanaparthy,58.0,393.94,1337.9,0.0,1731.84,1028.31,2054.6,23.81,3106.72,179.39
Warangal,126.0,663.67,554.23,5838.37,7056.27,1752.61,1463.52,5219.04,8435.17,119.54
Yadadri Bhuvanagiri,103.0,1160.84,2262.95,11.8,3435.59,2063.52,2969.7,109.84,5143.06,149.7
