District,no_of_accounts,net_loan_sanctioned,net_loan_disbursed,net_subsidy,net_processing_fess,total_net_subsidy
Adilabad,493.0,98.55,68.08,10.94,0.13,11.06
Hyderabad,41232.0,11527.96,8656.69,928.03,9.42,937.44
Jagitial,1.0,0.13,0.12,0.03,0.0,0.03
Jogulamba Gadwal,4.0,0.67,0.67,0.09,0.0,0.09
Kamareddy,2.0,0.31,0.31,0.05,0.0,0.05
Karimnagar,2128.0,441.78,288.12,46.97,0.53,47.49
Khammam,1787.0,388.03,324.61,41.93,0.45,42.37
Mahabubabad,7.0,1.57,1.21,0.16,0.0,0.16
Mahabubnagar,2492.0,494.5,389.75,57.93,0.62,58.56
Mancherial,11.0,2.51,2.08,0.25,0.0,0.26
Medak,3331.0,749.1,604.49,78.46,0.84,79.3
Medchal Malkajgiri,1626.0,361.62,338.03,39.32,0.42,39.74
Nalgonda,3352.0,610.81,497.09,80.07,0.89,80.96
Nirmal,20.0,2.89,2.64,0.48,0.01,0.48
Nizamabad,1042.0,214.69,150.08,23.62,0.27,23.89
Peddapalli,4.0,0.95,0.55,0.08,0.0,0.08
Ranga Reddy,5127.0,1181.2,1019.61,117.72,1.23,118.95
Sangareddy,81.0,16.89,14.68,2.01,0.02,2.03
Siddipet,11.0,2.0,1.94,0.27,0.0,0.27
Suryapet,48.0,8.58,8.25,1.22,0.01,1.24
Vikarabad,3.0,0.37,0.37,0.08,0.0,0.08
Wanaparthy,89.0,15.28,14.52,2.16,0.03,2.19
Warangal,2.0,0.22,0.22,0.05,0.0,0.05
Yadadri Bhuvanagiri,10.0,1.53,1.22,0.21,0.0,0.21
