District,final_target_higher_from_targe_a_and_b,no_of_apy_accounts_enrolled_from_1st_dec_to_31_jan_2023_status_as_on_january_31,of_target_achievement
Adilabad,2544.0,1751.0,69.0
Bhadradri Kothagudem,2664.0,1222.0,46.0
Hyderabad,24696.0,9648.0,39.0
Jagitial,1992.0,1184.0,59.0
Jangoan,1176.0,753.0,64.0
Jayashankar Bhupalapally,1152.0,529.0,46.0
Jogulamba Gadwal,960.0,562.0,59.0
Kamareddy,2064.0,1015.0,49.0
Karimnagar,4920.0,2943.0,60.0
Khammam,4536.0,2815.0,62.0
Kumuram Bheem Asifabad,984.0,733.0,74.0
Mahabubabad,1200.0,1431.0,119.0
Mahabubnagar,3672.0,1440.0,39.0
Mancherial,2088.0,1778.0,85.0
Medak,3072.0,1726.0,56.0
Medchal Malkajgiri,9816.0,4939.0,50.0
Mulugu,600.0,164.0,27.0
Nagarkurnool,1488.0,661.0,44.0
Nalgonda,5184.0,2500.0,48.0
Narayanpet,600.0,208.0,35.0
Nirmal,1656.0,1185.0,72.0
Nizamabad,5880.0,2583.0,44.0
Peddapalli,1872.0,1165.0,62.0
Rajanna Sircilla,1104.0,817.0,74.0
Ranga Reddy,14376.0,6280.0,44.0
Sangareddy,3840.0,2322.0,60.0
Siddipet,2352.0,1869.0,79.0
Suryapet,2832.0,1593.0,56.0
Vikarabad,1896.0,1498.0,79.0
Wanaparthy,984.0,527.0,54.0
Warangal,4344.0,1260.0,29.0
Yadadri Bhuvanagiri,1776.0,1678.0,94.0
