District,branch_rural,branch_semi_urban,branch_urban,total_branch
Adilabad,53.0,17.0,35.0,105.0
Bhadradri Kothagudem,62.0,100.0,0.0,162.0
Hanumakonda,36.0,19.0,103.0,158.0
Hyderabad,3.0,3.0,1090.0,1096.0
Jagitial,64.0,36.0,26.0,126.0
Jangoan,30.0,28.0,0.0,58.0
Jayashankar Bhupalapally,24.0,19.0,0.0,43.0
Jogulamba Gadwal,22.0,34.0,0.0,56.0
Kamareddy,74.0,56.0,0.0,130.0
Karimnagar,92.0,40.0,81.0,213.0
Khammam,98.0,61.0,84.0,243.0
Kumuram Bheem Asifabad,40.0,13.0,1.0,54.0
Mahabubabad,25.0,43.0,0.0,68.0
Mahabubnagar,50.0,28.0,55.0,133.0
Mancherial,47.0,66.0,5.0,118.0
Medak,59.0,45.0,1.0,105.0
Medchal Malkajgiri,40.0,107.0,453.0,600.0
Mulugu,26.0,7.0,1.0,34.0
Nagarkurnool,47.0,38.0,0.0,85.0
Nalgonda,92.0,44.0,84.0,220.0
Narayanpet,27.0,25.0,0.0,52.0
Nirmal,54.0,32.0,4.0,90.0
Nizamabad,144.0,55.0,78.0,277.0
Peddapalli,41.0,42.0,25.0,108.0
Rajanna Sircilla,36.0,26.0,5.0,67.0
Ranga Reddy,144.0,100.0,471.0,715.0
Sangareddy,86.0,116.0,33.0,235.0
Siddipet,67.0,47.0,23.0,137.0
Suryapet,63.0,52.0,40.0,155.0
Vikarabad,56.0,41.0,3.0,100.0
Wanaparthy,23.0,35.0,0.0,58.0
Warangal,40.0,19.0,67.0,126.0
Yadadri Bhuvanagiri,55.0,47.0,1.0,103.0
