District,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,agricuture,education,housing,personal_loan_under_nps,others,total_non_priority
Adilabad,105310.0,7.02,14.94,79.58,6.89,21.56,97.0,387.26,823.96,1282.95,658.37,400.25,78460.0,1219.64,679.35,4111.7,2279.18,484.95,47.0,31.96,47.0,164.49,179.53,469.98
Bhadradri Kothagudem,247752.0,3.32,35.47,337.17,4.11,60.26,67.0,113.6,1524.83,616.27,801.19,3389.13,86609.0,1197.51,7102.67,3844.69,2119.73,3305.36,9.36,6.82,7.45,23.64,16.86,64.13
Hanumakonda,155866.0,20.83,62.82,169.86,24.34,95.15,354.0,447.42,1230.87,2425.04,854.74,804.08,138067.0,1744.55,1333.75,6928.34,3091.88,930.76,33.16,25.58,36.35,106.3,130.8,332.19
Hyderabad,222843.0,2291.85,0.0,413.73,373.88,34.18,4207.0,8979.88,273.67,40432.74,8856.52,134.94,2408276.0,161137.71,1402.69,356623.42,181639.84,809.94,0.0,1093.77,3281.27,6563.52,11487.79,22426.35
Jagitial,179875.0,2.91,16.82,193.84,9.15,75.12,131.0,113.0,386.85,398.79,393.19,572.41,49438.0,357.42,775.99,1823.7,875.67,504.88,17.3,12.18,29.21,68.69,46.06,173.44
Jangoan,147968.0,1.75,28.27,116.25,2.14,45.24,27.0,59.73,711.07,215.48,238.52,1290.69,20546.0,189.07,1324.95,1008.64,491.21,943.36,6.19,4.73,8.4,18.48,14.27,52.07
Jayashankar Bhupalapally,82578.0,2.59,12.14,91.78,1.84,9.96,30.0,22.55,70.42,69.05,149.28,218.5,11963.0,110.36,150.46,593.04,286.62,134.24,21.34,18.48,32.02,68.32,73.35,213.51
Jogulamba Gadwal,135278.0,1.59,3.54,135.41,0.87,2.42,15.0,61.23,113.49,184.47,187.47,115.87,19645.0,200.47,131.18,894.06,451.63,100.48,44.94,35.98,53.95,161.8,152.82,449.49
Kamareddy,242244.0,1.81,163.06,259.91,3.23,6.73,65.0,113.06,52.36,507.43,252.27,166.93,33633.0,318.92,0.0,1672.1,689.29,165.64,1.11,48.0,215.91,151.12,0.0,416.14
Karimnagar,198558.0,182.09,688.69,190.43,26.92,127.76,445.0,305.67,771.31,1315.68,743.51,759.85,136907.0,1336.8,1691.94,5299.97,2594.99,982.95,26.44,21.07,39.63,97.85,79.01,264.0
Khammam,498605.0,19.94,117.85,604.05,40.13,395.76,603.0,531.11,1743.63,2496.83,800.46,1246.43,115963.0,1327.65,2810.44,6570.2,2719.29,1609.24,16.92,10.14,30.46,64.22,47.24,168.98
Kumuram Bheem Asifabad,38103.0,4.6,34.72,39.73,0.05,0.47,2.0,22.35,84.44,72.38,62.82,118.57,8201.0,107.18,367.68,373.92,197.0,148.69,13.25,10.64,26.47,52.98,29.15,132.49
Mahabubabad,219267.0,2.04,9.01,198.92,2.68,12.52,44.0,50.38,122.85,200.49,171.5,332.43,26295.0,239.31,252.25,900.8,465.91,201.24,22.65,21.4,41.01,51.59,94.87,231.52
Mahabubnagar,210175.0,16.14,44.8,233.23,9.54,52.94,147.0,273.36,505.94,1144.2,558.29,489.69,60950.0,641.21,822.06,3489.72,1498.54,499.36,36.03,18.02,54.03,114.01,78.0,300.09
Mancherial,89303.0,0.81,2.71,105.2,3.27,17.3,61.0,195.0,296.31,837.76,467.21,426.21,57955.0,614.0,820.97,2866.2,1280.29,428.1,29.94,18.9,65.81,109.62,74.79,299.06
Medak,202129.0,3.05,13.0,230.82,2.8,14.97,44.0,87.18,309.7,405.39,254.54,245.48,44099.0,373.02,619.33,1898.4,720.59,307.63,23.47,18.7,28.15,103.69,60.23,234.24
Medchal Malkajgiri,133018.0,127.61,179.48,200.93,133.06,9.73,1750.0,4662.64,250.54,10722.82,5326.61,309.89,481315.0,10714.04,310.95,34788.46,20963.96,247.7,71.1,1366.95,1861.0,1718.87,3445.53,8463.45
Mulugu,77440.0,0.27,4.49,108.79,1.32,66.0,16.0,18.12,226.22,50.7,110.11,1102.2,7449.0,85.82,2150.88,340.22,215.64,718.8,6.01,2.0,8.01,9.99,3.99,30.0
Nagarkurnool,261911.0,5.95,13.64,311.75,1.74,15.9,39.0,81.41,408.27,291.33,242.67,366.57,26632.0,316.97,1308.17,1198.9,648.74,393.37,43.61,10.94,19.94,66.2,24.23,164.92
Nalgonda,563108.0,11.64,26.71,677.59,21.18,60.69,336.0,347.68,530.89,1320.42,873.36,625.53,119532.0,1328.81,870.27,5032.58,2582.67,591.98,43.58,34.9,65.49,139.62,152.69,436.28
Narayanpet,148533.0,2.4,22.39,182.08,0.44,17.6,5.0,24.14,528.23,85.38,84.24,514.91,10401.0,114.69,880.2,417.16,225.91,478.83,10.72,2.5,4.57,16.36,13.03,47.18
Nirmal,119885.0,1.53,5.56,121.68,2.53,11.71,50.0,109.2,264.86,416.92,356.51,341.06,29460.0,300.84,375.21,1458.64,770.61,280.15,27.52,21.61,41.23,104.53,80.18,275.07
Nizamabad,345666.0,5.93,0.0,431.0,17.31,38.02,361.0,493.95,931.1,1934.17,726.05,2913.52,106475.0,1094.01,2127.18,6203.13,2337.25,1336.11,0.0,45.53,53.05,24.92,51.43,174.93
Peddapalli,127690.0,13.23,47.08,139.2,7.82,34.77,81.0,182.69,360.83,629.44,282.93,251.07,48517.0,493.32,729.98,2239.83,979.99,348.14,28.1,22.49,50.63,112.69,67.58,281.49
Rajanna Sircilla,89276.0,8.51,97.59,116.78,6.05,111.21,57.0,125.35,441.37,470.91,162.24,603.35,36678.0,276.67,472.37,1323.07,578.82,452.13,8.72,5.44,28.4,26.89,58.57,128.02
Ranga Reddy,555118.0,360.72,79.91,390.9,139.12,9.63,1873.0,4132.7,117.74,19940.06,5833.5,468.64,1159460.0,15612.93,890.34,52999.44,26078.97,310.29,451.4,1444.98,3509.89,1244.78,1753.59,8404.64
Sangareddy,273442.0,4.36,5.74,298.35,14.44,29.29,211.0,658.36,355.08,4881.02,1350.86,435.65,116640.0,1835.22,383.0,9984.7,3863.24,351.23,75.96,49.3,185.41,310.08,479.17,1099.92
Siddipet,238148.0,43.88,48.51,280.7,6.1,37.89,113.0,175.72,470.22,749.86,370.25,1261.07,36668.0,346.15,284.9,2072.73,942.1,319.59,90.45,16.1,37.37,29.36,121.5,294.78
Suryapet,380519.0,11.12,31.06,485.08,14.85,56.72,271.0,255.46,369.27,1118.01,353.22,369.67,54777.0,573.49,564.29,2884.86,1208.14,367.95,35.8,26.18,69.18,95.55,101.63,328.34
Vikarabad,214544.0,1.04,0.73,241.24,0.76,0.89,23.0,46.88,29.07,196.53,188.06,144.56,33683.0,277.06,57.43,1091.61,513.8,51.3,142.74,85.08,161.28,130.09,482.4,1001.59
Wanaparthy,144454.0,1.31,9.17,159.3,1.82,15.94,33.0,78.39,343.06,299.21,178.41,346.49,15929.0,153.67,358.37,899.85,413.6,289.37,14.29,11.42,22.85,51.49,42.88,142.93
Warangal,221194.0,26.9,241.47,180.69,13.22,150.57,244.0,207.14,1255.39,1073.22,343.99,914.87,68737.0,1011.19,2808.86,3704.2,1602.44,1456.5,11.14,8.78,16.5,37.6,36.0,110.02
Yadadri Bhuvanagiri,203539.0,7.25,27.9,218.98,6.99,40.38,105.0,113.41,504.72,503.61,305.79,882.51,33769.0,288.57,396.71,1595.72,722.01,416.96,25.99,17.31,22.47,34.65,72.74,173.16
