District,Kharif insured PMFBY under Amount,PMFBY Kharif Farmers Covered No.,Loan Current Amount Year Achievement Crop
East Garo Hills,0,0,24.13
East Jaintia Hills,62.17,103,218.37
East Khasi Hills,4.91,10,2388.62
North Garo Hills,0,0,16.59
Ri Bhoi,102.27,289,1265.6
South Garo Hills,0,0,29.8
West Garo Hills,0,0,711.14
West Jaintia Hills,31.01,44,465.85
West Khasi Hills,171.2,339,600.44
