District,Aadhaar Seeded No.,Rupay Card Activated,Rupay Card Issued No.,Deposits Held in A/C Amt,Zero Balance A/C No.,Total No. PMJDY,Female No.,Male No.,Urban No.,Rural No.
East Garo Hills,22132,7005,24702,1134.86,1870,36661,21076,15585,8200,28461
East Jaintia Hills,21519,9008,22282,4093.96,1466,45993,27821,18172,2595,44734
East Khasi Hills,65047,58303,84643,18075.04,11571,170155,97813,72342,60522,111839
Eastern West Khasi Hills,16594,7392,16225,3982.75,1464,45754,22835,22919,5179,32754
North Garo Hills,22503,9205,41211,1205.99,1029,50926,28967,21959,3272,47647
Ri Bhoi,30411,21473,41016,5117.95,3643,75152,45235,29917,13054,62124
South Garo Hills,12333,5244,12715,862.42,1581,25700,13884,11816,7506,18194
South West Garo Hills,28605,9555,36994,1843.69,1601,54250,28244,26006,1500,52750
South West Khasi Hills,9853,7203,13140,1438.61,1538,20818,13168,7650,2934,17884
West Garo Hills,88293,38155,142553,5388.2,12501,207032,118448,88584,23273,183765
West Jaintia Hills,27292,20648,35256,5465.08,3025,75338,48882,26456,19761,55622
West Khasi Hills,16080,9855,21706,3010.19,1874,47121,25836,21285,10266,43992
