District,(PS) Amount Msme Target,Msme Target No. (PS),Crop Amount Achv% Loan,Crop Amount Achieved Loan,Crop Loan Achieved No.,Crop Target Amount Loan,Crop Loan Target No.,Amount Achv% Agri(PS),Agri Amount Achieved (PS),Agri Achieved No. (PS),Agri Target Amount (PS),Agri Target No. (PS)
East Garo Hills,3012,1445,8.34,609.29,795,7310,14582,10.89,965.84,1296,8871.2,16766
East Jaintia Hills,7910,605,17.8,254.61,330,1430,1050,34.48,871.58,653,2528,1598
East Khasi Hills,106277,18027,63.33,4628.5,5467,7309,13013,51.29,7875.58,6713,15354,16826
North Garo Hills,2340,1156,16.88,715.85,934,4240,8480,16.66,941.16,1160,5648.27,10130
Ri Bhoi,24148,6767,37.4,4507.3,5715,12050.01,17643,31.56,6356.89,7020,20141.18,22888
South Garo Hills,800,660,6.43,237.16,352,3690,3850,8.54,390.69,551,4577,4009
West Garo Hills,15674,2855,18.55,1733.01,1537,9343.52,9950,17.51,3520.44,4081,20103.46,21250
West Jaintia Hills,13290,6520,21.69,1158.2,1251,5340,5210,23.97,1791.76,1653,7476,6484
West Khasi Hills,1900,540,23.41,830.94,1245,3550,3940,26.86,1377.42,1473,5128,6991
