District,Total Non-Priority NPA Amt,Sec Total NPA Non No. Priorityrityrity,Other Amt (NPS),Other No. (NPS),Loan Amt Personal,Loan No Personal,Housing Amt (NPS),Housing No. (NPS),Education Amt (NPS),Education No. (NPS),Agriculture Amt (NPS),Agriculture No. (NPS)
East Garo Hills,478.46,237,317.5,147,160.96,90,0,0,0,0,0,0
East Jaintia Hills,230.69,202,166.29,149,64.4,53,0,0,0,0,0,0
East Khasi Hills,10301.25,2425,9016.01,1814,1072.04,595,207.89,14,5.14,1,0.17,1
Eastern West Khasi Hills,35.55,29,24.2,24,11.35,5,0,0,0,0,0,0
North Garo Hills,345.14,164,163.13,62,182.01,102,0,0,0,0,0,0
Ri Bhoi,2009.66,1191,1776.29,1128,118.14,54,113.07,5,0,0,2.16,4
South Garo Hills,236.63,139,106.55,61,130.08,78,0,0,0,0,0,0
South West Garo Hills,209.26,143,150.2,100,59.06,43,0,0,0,0,0,0
South West Khasi Hills,14.67,12,11.82,7,2.85,5,0,0,0,0,0,0
West Garo Hills,2396.91,1396,1019.82,661,1266,729,111.09,6,0,0,0,0
West Jaintia Hills,429.85,310,291.81,233,130.93,70,5.57,1,0,0,1.54,6
West Khasi Hills,101.05,55,76.94,28,24.11,27,0,0,0,0,0,0
