District,Medium WC A/C,Medium TL Amt,Medium TL A/C,Small WC Amt,Small WC A/C,Small TL Amt,Small TL A/C,Micro WC Amt,Micro WC A/C,Micro TL Amt,Micro TL A/C
East Garo Hills,0,0,0,85.01,3,77.7,5,344.12,90,588.84,255
East Jaintia Hills,0,0,0,1079.49,17,170.95,7,3300.89,191,2762.64,285
East Khasi Hills,6,7649.9,28,11499.8,102,8413.67,166,14557.18,1542,24261.82,3292
North Garo Hills,0,0,0,26.03,5,1.12,1,262.01,105,724.16,413
Ri Bhoi,4,3916.67,11,3780.52,16,8998.54,40,3957.17,316,9957.15,492
South Garo Hills,0,0,0,2,0,6.01,2,51.81,48,178.05,147
West Garo Hills,0,107.5,3,656.13,18,878.98,37,4269,510,4765.35,1299
West Jaintia Hills,0,46,1,359.57,3,840.55,77,1082.78,268,3434.19,647
West Khasi Hills,0,0,0,0,0,6.52,11,433.78,160,503.39,175
