District,NPS Amt.% NPA,Total Non-Priorityrityrityrity NPA Amt,Tot NPA Priorityrityrity No. Sec Non,Total NPS O/S Amt,Total NPS O/S No.,Other Amt (NPS),Other No. (NPS),Personal Loan Amt,Personal Loan No.,Housing Amt (NPS),Housing No. (NPS),Education Amt (NPS),Education No. (NPS),Agriculture Amt (NPS),Agriculture No. (NPS)
East Garo Hills,1.8,478.46,237,26535.18,7499,21547.57,5870,3698.65,1402,1226.09,93,0,0,62.87,134
East Khasi Hills,1.24,10301.25,2425,829141.54,116726,628991.61,85624,100195.3,26044,91976.23,4491,7943.87,474,34.53,93
Ri Bhoi,1.27,2009.66,1191,158701.46,30883,125831.66,25207,9564.91,4085,23124.86,1568,175.59,5,4.44,18
West Garo Hills,2.28,2396.91,1396,105076.9,28828,76825.65,21381,13994.46,6198,13741.72,1007,412.17,10,102.9,232
West Khasi Hills,0.69,101.05,55,14616.32,4263,9428.35,2711,3925.69,1453,1242.2,97,20.08,2,0,0
