District,Total ACP Disbursement Amt (NPS),Total ACP Disbursement No. (NPS),Other NPS Amt,A/C NPS Others,Personal Loans Amt (NPS),Personal Loans A/C (NPS),Housing Amt (NPS),Housing A/C (NPS),Amt. (NPS) cation Edu,A/C (NPS) cation Edu,MSME Amt (NPS),MSME No. (NPS),Agriculture Amt (NPS),Agriculture No. (NPS)
East Garo Hills,6241.58,1361,5268.99,1170,749.29,167,221.63,21,0,0,0,0,1.67,3
East Jaintia Hills,8840.85,1243,7907.16,1082,848.95,156,84.74,5,0,0,0,0,0,0
East Khasi Hills,210016.83,25430,175340.92,21358,21001.19,3384,11543.18,479,1706.43,192,394,9,31.11,8
North Garo Hills,4297.9,681,3983.44,631,168.75,35,145.71,15,0,0,0,0,0,0
Ri Bhoi,37163.79,4197,32526.78,3688,1657.11,295,2927.87,211,52.03,3,0,0,0,0
South Garo Hills,2259.25,355,1925.35,289,262.13,56,71.77,10,0,0,0,0,0,0
West Garo Hills,21249.47,4153,16853.56,3480,2643.25,522,1688.6,134,56.66,5,0,0,7.4,12
West Khasi Hills,2858.25,585,2023.49,396,789.14,182,41.49,6,4.13,1,0,0,0,0
