District,Overall CD Ratio,CD Ratio Urban,CD Ratio Semi-Urban,CD Ratio Rural,Total Advance,Adv Urban,Adv Semi-Urban,Adv Rural,Total Deposit,Dep Urban,Dep Semi-Urban,Deposits Rural
East Garo Hills,71.91,84.62,69.44,73.1,37104.72,5237.68,25170.77,6696.27,51597.8,6189.56,36248.24,9160
East Jaintia Hills,23.7,,16.44,22.07,41883.1,4668.83,5211.75,32002.52,176685.41,0,31702.69,144982.72
East Khasi Hills,43.52,44.56,44.41,35.65,1138016.31,940683.94,89730.25,107602.12,2614905.6,2110986.42,202065.69,301853.49
Eastern West Khasi Hills,38.21,18.25,37.38,44.7,18924.33,1204.57,7503.39,10216.37,49531.13,6602.05,20072.86,22856.22
North Garo Hills,67.87,,54.51,75.36,27608.98,4.39,7971.15,19633.44,40676.81,0,14622.32,26054.49
Ri Bhoi,110.24,85.18,41.81,142.32,256021.29,5018.54,29599.3,221403.45,232249.01,5891.56,70786.35,155571.1
South Garo Hills,57.77,59.82,61.15,51.37,17701.61,2285.22,10245.61,5170.78,30641.43,3820.45,16754.63,10066.35
South West Garo Hills,66.16,,56.38,67.64,26178.89,0,2921.83,23257.06,39566.23,0,5182.18,34384.05
South West Khasi Hills,38.4,,33.54,39.18,13669.87,0.01,1648.13,12021.73,35595.52,0,4914.55,30680.97
West Garo Hills,58.63,46.9,60.65,57.8,149313.8,10192.76,95195.28,43925.76,254682.72,21730.93,156955.41,75996.38
West Jaintia Hills,29.79,22.84,37.81,23.98,88104.15,19475.96,49604.12,19024.07,295770.8,85253.74,131176.71,79340.35
West Khasi Hills,38.17,32.43,41.8,32.87,27626.66,3106.48,18154.8,6365.38,72377.54,9578.28,43431.84,19367.42
