District,Total MUDRA Disbursement Amt,Total MUDRA Disbursement No.,Tarun Amt,Tarun No.,Kishore Amt,Kishore No.,Sishu amt,Sishu No
East Garo Hills,560.88,303,347.33,76,196.47,182,17.08,45
East Jaintia Hills,1141.65,366,759.17,120,348.86,192,33.62,54
East Khasi Hills,9181.26,8299,3355.58,555,4394.46,3842,1431.22,3902
Eastern West Khasi Hills,255.65,80,129.76,19,119.64,45,6.25,16
North Garo Hills,405.59,356,208.68,44,184.17,237,12.74,75
Ri Bhoi,1553.83,1284,708.96,133,609.94,524,234.93,627
South Garo Hills,235.28,218,135.99,57,96.55,108,2.74,53
South West Garo Hills,243.12,182,125.6,36,109.08,121,8.44,25
South West Khasi Hills,156.36,76,112.86,23,41.98,48,1.52,5
West Garo Hills,2873.09,2261,1644.69,427,794.22,645,434.18,1189
West Jaintia Hills,1522.76,583,870.88,140,613.63,363,38.25,80
West Khasi Hills,544.69,321,256.44,45,268.39,228,19.86,48
