District,Inactive CSP,Active Rupay Card in PMJDY,First Time Active Rupay Card,Aadhaar Authenticated Sb Accounts,Rupay Card Issued in KCC
East Garo Hills,10,9242,7940,47686,1074
East Jaintia Hills,23,19095,11552,9356,15
East Khasi Hills,182,99304,106792,164823,6039
Eastern West Khasi Hills,13,12249,4183,4194,815
North Garo Hills,3,15069,13479,39745,543
Ri Bhoi,33,27122,12114,28263,7255
South Garo Hills,16,7918,5753,23697,45
South West Garo Hills,31,12264,10348,62674,1107
South West Khasi Hills,11,8024,888,7048,365
West Garo Hills,71,33428,26728,171675,2646
West Jaintia Hills,24,20279,6369,32837,1720
West Khasi Hills,18,13330,4681,9692,2435
